Wavelength	Mean	Std+	Std-
350	0.061202467	0.075908674	0.04649626
351	0.061745	0.076440533	0.047049467
352	0.062271867	0.077057826	0.047485907
353	0.061905067	0.076632322	0.047177811
354	0.061712067	0.07641823	0.047005904
355	0.061783667	0.076519497	0.047047837
356	0.0621394	0.076932846	0.047345954
357	0.062387133	0.077150291	0.047623976
358	0.0626278	0.077331606	0.047923994
359	0.063087	0.077813067	0.048360933
360	0.063012333	0.077787973	0.048236694
361	0.0629166	0.077710206	0.048122994
362	0.0630874	0.07782202	0.04835278
363	0.063844133	0.078587086	0.04910118
364	0.064214933	0.078978438	0.049451429
365	0.0641212	0.078909493	0.049332907
366	0.064581133	0.079371154	0.049791112
367	0.06473	0.079509606	0.049950394
368	0.0647894	0.079554892	0.050023908
369	0.065312533	0.080077773	0.050547294
370	0.065319	0.080110596	0.050527404
371	0.065343933	0.080170198	0.050517669
372	0.065779533	0.080637406	0.050921661
373	0.065945333	0.080796088	0.051094579
374	0.066228333	0.081089432	0.051367235
375	0.066689867	0.081587234	0.051792499
376	0.066903467	0.081815829	0.051991105
377	0.0672622	0.082182465	0.052341935
378	0.0676784	0.082610525	0.052746275
379	0.067829933	0.082819444	0.052840423
380	0.068086667	0.083087105	0.053086229
381	0.068406067	0.083414066	0.053398067
382	0.068776933	0.08382352	0.053730346
383	0.068672267	0.083728315	0.053616218
384	0.068893733	0.08395632	0.053831146
385	0.069610333	0.084682155	0.054538511
386	0.069994333	0.085116985	0.054871682
387	0.070497	0.085662911	0.055331089
388	0.070988333	0.086191768	0.055784898
389	0.070938667	0.086184672	0.055692661
390	0.071112733	0.086366307	0.055859159
391	0.071359067	0.086601508	0.056116625
392	0.071573133	0.086791258	0.056355009
393	0.072197	0.087443214	0.056950786
394	0.072625667	0.087906118	0.057345215
395	0.072717	0.088027015	0.057406985
396	0.073180667	0.088495477	0.057865856
397	0.073515867	0.088859297	0.058172436
398	0.073752733	0.089138185	0.058367281
399	0.0739434	0.089356464	0.058530336
400	0.074236067	0.089680838	0.058791295
401	0.0745606	0.090034534	0.059086666
402	0.0748936	0.090389732	0.059397468
403	0.075213267	0.090676439	0.059750095
404	0.0754454	0.090902306	0.059988494
405	0.075570867	0.091070952	0.060070781
406	0.076034467	0.091523326	0.060545607
407	0.0764116	0.091912998	0.060910202
408	0.076709	0.092240972	0.061177028
409	0.076985667	0.092528044	0.061443289
410	0.077269733	0.092821927	0.06171754
411	0.077577333	0.093145896	0.062008771
412	0.077951533	0.093554838	0.062348229
413	0.078359867	0.093968641	0.062751093
414	0.078693067	0.094316521	0.063069612
415	0.078906733	0.094569171	0.063244296
416	0.079301533	0.094977171	0.063625896
417	0.079674867	0.095365514	0.063984219
418	0.080019267	0.09572717	0.064311364
419	0.080340533	0.09606283	0.064618236
420	0.080683	0.096424204	0.064941796
421	0.081024067	0.096784342	0.065263791
422	0.0813294	0.097100767	0.065558033
423	0.081707267	0.097508028	0.065906505
424	0.082086133	0.097907689	0.066264578
425	0.082441467	0.098262323	0.066620611
426	0.082737667	0.098584148	0.066891186
427	0.083123133	0.09898782	0.067258447
428	0.0835948	0.099470174	0.067719426
429	0.08394	0.099848401	0.068031599
430	0.084295867	0.100225182	0.068366551
431	0.084680267	0.100624828	0.068735705
432	0.085157533	0.101120012	0.069195054
433	0.085663667	0.101649551	0.069677782
434	0.086095067	0.102106177	0.070083956
435	0.0863858	0.102423551	0.070348049
436	0.0867726	0.102837804	0.070707396
437	0.087124067	0.103208239	0.071039894
438	0.087440333	0.103536233	0.071344433
439	0.087848667	0.103972257	0.071725076
440	0.088254667	0.104390971	0.072118362
441	0.088648667	0.104793376	0.072503957
