Wavelength	Mean	Std+	Std-
350	0.050164067	0.063852161	0.036475972
351	0.0504024	0.064083056	0.036721744
352	0.0502326	0.063891584	0.036573616
353	0.0503248	0.063981663	0.036667937
354	0.050302267	0.063939264	0.03666527
355	0.050164667	0.063767747	0.036561587
356	0.050342667	0.063990641	0.036694692
357	0.050405533	0.064062502	0.036748564
358	0.050425133	0.064070541	0.036779726
359	0.050532133	0.064163838	0.036900428
360	0.050563133	0.064215613	0.036910654
361	0.050524467	0.064196952	0.036851982
362	0.050392333	0.064063613	0.036721053
363	0.050466733	0.064215403	0.036718064
364	0.050646067	0.064434118	0.036858015
365	0.050906133	0.064683177	0.037129089
366	0.051013267	0.064775397	0.037251136
367	0.0511094	0.064878151	0.037340649
368	0.0511736	0.064954593	0.037392607
369	0.0511208	0.064878759	0.037362841
370	0.051224533	0.06500372	0.037445346
371	0.051304133	0.065099203	0.037509064
372	0.051218267	0.064984748	0.037451786
373	0.051392733	0.065173562	0.037611905
374	0.051496067	0.065298497	0.037693636
375	0.051477867	0.065304304	0.037651429
376	0.051670267	0.065506008	0.037834526
377	0.051770133	0.065645752	0.037894515
378	0.051843333	0.065772341	0.037914326
379	0.052111733	0.066048777	0.038174689
380	0.0521952	0.066148309	0.038242091
381	0.0522442	0.066204806	0.038283594
382	0.052373867	0.066316371	0.038431362
383	0.052250267	0.066196741	0.038303792
384	0.052304333	0.066275387	0.03833328
385	0.052626867	0.066645416	0.038608318
386	0.052791867	0.06688008	0.038703654
387	0.0528832	0.067014896	0.038751504
388	0.052942467	0.067098794	0.03878614
389	0.053132333	0.067315482	0.038949185
390	0.053273933	0.067440431	0.039107436
391	0.053378067	0.0675216	0.039234533
392	0.053442067	0.067587618	0.039296515
393	0.053762867	0.067912759	0.039612975
394	0.053961067	0.068128073	0.03979406
395	0.053950733	0.068150015	0.039751452
396	0.053948333	0.068174757	0.039721909
397	0.054091667	0.068356289	0.039827044
398	0.054303267	0.06860972	0.039996813
399	0.054367	0.068693702	0.040040298
400	0.054498667	0.068845275	0.040152059
401	0.054655067	0.069011567	0.040298567
402	0.054820467	0.069162362	0.040478571
403	0.0548704	0.069188146	0.040552654
404	0.054928	0.069216851	0.040639149
405	0.055026267	0.069281953	0.04077058
406	0.055156133	0.069410247	0.04090202
407	0.055238	0.069496128	0.040979872
408	0.055299133	0.069564611	0.041033655
409	0.055495267	0.069765332	0.041225201
410	0.055612267	0.069902063	0.041322471
411	0.0557078	0.070015389	0.041400211
412	0.0558448	0.070146731	0.041542869
413	0.055958467	0.070262942	0.041653991
414	0.056071467	0.070380002	0.041762931
415	0.0561934	0.070506126	0.041880674
416	0.056309	0.070624763	0.041993237
417	0.056411133	0.070727078	0.042095189
418	0.056512067	0.070826514	0.042197619
419	0.0567132	0.071036352	0.042390048
420	0.0568172	0.071150424	0.042483976
421	0.0568864	0.071231162	0.042541638
422	0.057000933	0.071357902	0.042643964
