Wavelength	Mean	Std+	Std-
350	0.0207815	0.023527136	0.018035864
351	0.020926833	0.023672854	0.018180813
352	0.0213965	0.024084452	0.018708548
353	0.021203333	0.023971877	0.01843479
354	0.021144833	0.023938529	0.018351137
355	0.021271167	0.024027222	0.018515111
356	0.021341167	0.024108514	0.018573819
357	0.021494333	0.024271546	0.018717121
358	0.021694667	0.0244835	0.018905833
359	0.021896333	0.024703256	0.01908941
360	0.022056833	0.024865808	0.019247858
361	0.022118833	0.024926169	0.019311498
362	0.022011667	0.024816363	0.01920697
363	0.021975333	0.024745205	0.019205462
364	0.02197	0.024735701	0.019204299
365	0.021997833	0.024797293	0.019198373
366	0.022232833	0.025086003	0.019379663
367	0.022477167	0.025333273	0.01962106
368	0.022717333	0.025553715	0.019880952
369	0.022903	0.025749192	0.020056808
370	0.022981167	0.025846444	0.020115889
371	0.023043	0.025900421	0.020185579
372	0.023145833	0.025932365	0.020359301
373	0.023325667	0.026167276	0.020484057
374	0.023486667	0.026378113	0.02059522
375	0.023613667	0.026525102	0.020702231
376	0.023752833	0.026663693	0.020841973
377	0.023825667	0.026736291	0.020915042
378	0.0238535	0.026765332	0.020941668
379	0.023882167	0.026797165	0.020967168
380	0.024004667	0.026907409	0.021101924
381	0.024189667	0.027091358	0.021287975
382	0.024435167	0.02737129	0.021499043
383	0.024662333	0.027632222	0.021692444
384	0.024831333	0.027798565	0.021864101
385	0.024931167	0.027850259	0.022012074
386	0.025085	0.028036143	0.022133857
387	0.0252885	0.028248246	0.022328754
388	0.025485167	0.028435263	0.022535071
389	0.025439333	0.028380835	0.022497832
390	0.025740167	0.028715581	0.022764752
391	0.026086	0.029090135	0.023081865
392	0.026219167	0.029197863	0.02324047
393	0.0262595	0.029261711	0.023257289
394	0.026459667	0.029489341	0.023429993
395	0.0268695	0.029921054	0.023817946
396	0.026925833	0.030009679	0.023841988
397	0.027087833	0.030185068	0.023990598
398	0.027282833	0.030382779	0.024182887
399	0.0272585	0.030375511	0.024141489
400	0.0273795	0.030487745	0.024271255
401	0.027581	0.030681793	0.024480207
402	0.027857667	0.030976964	0.02473837
403	0.028045667	0.031155481	0.024935853
404	0.028205	0.031312097	0.025097903
405	0.028354	0.031474205	0.025233795
406	0.028563167	0.031736308	0.025390025
407	0.028772333	0.031969627	0.02557504
408	0.028971667	0.032172838	0.025770495
409	0.029108833	0.032335511	0.025882156
410	0.0293045	0.032558598	0.026050402
411	0.029527667	0.032799883	0.026255451
412	0.029760833	0.033022497	0.02649917
413	0.029898333	0.033178842	0.026617825
414	0.030029167	0.0333445	0.026713834
