Wavelength	Mean	Std+	Std-
350	0.0082291	0.010484055	0.005974145
351	0.0083725	0.010630954	0.006114046
352	0.0084457	0.010724512	0.006166888
353	0.0087009	0.010991588	0.006410212
354	0.0087685	0.011063376	0.006473624
355	0.0086333	0.010926127	0.006340473
356	0.0084716	0.010788321	0.006154879
357	0.008599	0.010930459	0.006267541
358	0.008775	0.011113506	0.006436494
359	0.0084932	0.01082876	0.00615764
360	0.0086861	0.011027768	0.006344432
361	0.008904	0.011254722	0.006553278
362	0.0088991	0.01125974	0.00653846
363	0.0089368	0.011317399	0.006556201
364	0.0090255	0.011434614	0.006616386
365	0.0091581	0.011603687	0.006712513
366	0.0091743	0.011628896	0.006719704
367	0.0093058	0.011785574	0.006826026
368	0.0094388	0.011944816	0.006932784
369	0.0092503	0.011737421	0.006763179
370	0.0094501	0.011920609	0.006979591
371	0.009714	0.012194298	0.007233702
372	0.0098342	0.012380678	0.007287722
373	0.0097369	0.012287706	0.007186094
374	0.009828	0.012396606	0.007259394
375	0.0101746	0.012785728	0.007563472
376	0.0101495	0.012764142	0.007534858
377	0.0101958	0.012818182	0.007573418
378	0.0102983	0.012943768	0.007652832
379	0.0104317	0.013160757	0.007702643
380	0.0105668	0.013294087	0.007839513
381	0.0107213	0.013442322	0.008000278
382	0.0109166	0.013694552	0.008138648
383	0.0111548	0.013938095	0.008371505
384	0.0113125	0.01412148	0.00850352
385	0.0113658	0.014235319	0.008496281
386	0.0118126	0.014706305	0.008918895
387	0.0119996	0.014926987	0.009072213
388	0.0120286	0.014992896	0.009064304
389	0.0122375	0.015228205	0.009246795
390	0.0124033	0.015442616	0.009363984
391	0.0125565	0.015644326	0.009468674
392	0.0127255	0.015844475	0.009606525
393	0.013084	0.016247179	0.009920821
394	0.013384	0.016598711	0.010169289
395	0.0135634	0.016834254	0.010292546
396	0.0138965	0.017193613	0.010599387
397	0.0141878	0.017543569	0.010832031
398	0.0144361	0.017870417	0.011001783
399	0.0146208	0.018130128	0.011111472
400	0.0148472	0.018415949	0.011278451
401	0.0150988	0.018720316	0.011477284
402	0.0153938	0.019069551	0.011718049
403	0.0156099	0.019343418	0.011876382
404	0.0158553	0.019653377	0.012057223
405	0.0161668	0.020037647	0.012295953
406	0.0164164	0.020363595	0.012469205
407	0.0167506	0.020777433	0.012723767
408	0.0171413	0.021252487	0.013030113
409	0.0174448	0.02165204	0.01323756
410	0.0177879	0.022091436	0.013484364
411	0.0181397	0.022538126	0.013741274
412	0.0184784	0.022971079	0.013985721
413	0.018864	0.023442032	0.014285968
414	0.0192026	0.023874659	0.014530541
415	0.0194604	0.024243026	0.014677774
416	0.0198798	0.024758333	0.015001267
417	0.0202831	0.025258666	0.015307534
418	0.0206641	0.025740002	0.015588198
419	0.021038	0.026227322	0.015848678
420	0.0214049	0.026700306	0.016109494
421	0.0217819	0.027182396	0.016381404
422	0.0222071	0.027723489	0.016690711
423	0.0226361	0.028259313	0.017012887
424	0.0230155	0.028745188	0.017285812
425	0.0233156	0.029155683	0.017475517
426	0.0237195	0.029658156	0.017780844
427	0.0241418	0.030185276	0.018098324
428	0.0245778	0.030735094	0.018420506
429	0.0250255	0.031308761	0.018742239
430	0.025478	0.031877547	0.019078453
431	0.0259275	0.032441198	0.019413802
432	0.026369	0.033008088	0.019729912
433	0.0268603	0.033628356	0.020092244
434	0.0273284	0.03421483	0.02044197
435	0.0277367	0.034723217	0.020750183
436	0.0281899	0.035284176	0.021095624
437	0.0286323	0.03583113	0.02143347
438	0.0290659	0.036367433	0.021764367
439	0.0295376	0.036961012	0.022114188
440	0.0300016	0.037537613	0.022465587
441	0.0304521	0.038095914	0.022808286
442	0.0308734	0.038630043	0.023116757
443	0.0313558	0.039227069	0.023484531
444	0.0318292	0.039814049	0.023844351
445	0.0322497	0.040344485	0.024154915
446	0.0327413	0.040946336	0.024536264
447	0.0331754	0.041488439	0.024862361
448	0.033545	0.041964196	0.025125804
449	0.0340325	0.042560826	0.025504174
450	0.0345016	0.043140415	0.025862785
451	0.0349574	0.043708164	0.026206636
452	0.0354046	0.044269347	0.026539853
453	0.0358547	0.04482383	0.02688557
