Wavelength	Mean	Std+	Std-
350	0.0228195	0.025991914	0.019647086
351	0.022848786	0.026022426	0.019675146
352	0.022787643	0.025955069	0.019620217
353	0.022707	0.025854708	0.019559292
354	0.022635929	0.025775711	0.019496146
355	0.022587429	0.025733545	0.019441312
356	0.022714714	0.025876293	0.019553136
357	0.022582286	0.025732942	0.019431629
358	0.022392714	0.025528285	0.019257144
359	0.022558929	0.025719953	0.019397904
360	0.022573929	0.025722089	0.019425768
361	0.022648857	0.025782839	0.019514875
362	0.022930143	0.026068511	0.019791775
363	0.022831071	0.02599944	0.019662703
364	0.022755929	0.025936947	0.01957491
365	0.022750357	0.025924287	0.019576427
366	0.022693643	0.025897018	0.019490268
367	0.022545714	0.025723376	0.019368052
368	0.022416929	0.025546121	0.019287736
369	0.022638214	0.025770359	0.01950607
370	0.022716	0.025868482	0.019563518
371	0.022752071	0.025913043	0.0195911
372	0.022800786	0.025932267	0.019669305
373	0.022949143	0.026116643	0.019781642
374	0.022937929	0.026124164	0.019751693
375	0.022723214	0.025898952	0.019547477
376	0.02283	0.026006372	0.019653628
377	0.022866214	0.026052021	0.019680408
378	0.022888143	0.026087845	0.019688441
379	0.023095929	0.026303836	0.019888021
380	0.023191286	0.026397252	0.019985319
381	0.023178571	0.026384074	0.019973069
382	0.023014214	0.02623095	0.019797478
383	0.023145714	0.026349955	0.019941474
384	0.023292214	0.026498653	0.020085776
385	0.023402357	0.026633697	0.020171018
386	0.023450857	0.02673555	0.020166164
387	0.023471	0.026795816	0.020146184
388	0.023473071	0.026820481	0.020125662
389	0.023488571	0.026813271	0.020163872
390	0.023495214	0.026824397	0.020166032
391	0.023589714	0.026923092	0.020256336
392	0.023908929	0.027219819	0.020598039
393	0.024034071	0.027357035	0.020711107
394	0.024092214	0.02744807	0.020736358
395	0.024107286	0.027512885	0.020701686
396	0.024208857	0.027640443	0.020777272
397	0.024275786	0.027726146	0.020825425
398	0.024336857	0.027801514	0.020872201
399	0.024507	0.027984962	0.021029038
400	0.024633786	0.028125375	0.021142196
401	0.024770357	0.028274948	0.021265766
402	0.024985571	0.028502467	0.021468676
403	0.025142571	0.028662145	0.021622998
404	0.025286786	0.028811093	0.021762479
405	0.025432643	0.028968596	0.02189669
406	0.025663571	0.029205403	0.02212174
407	0.025871857	0.029441952	0.022301762
408	0.026076786	0.029689934	0.022463638
409	0.026411	0.030046448	0.022775552
410	0.026678786	0.03034853	0.023009042
411	0.026927143	0.03063322	0.023221066
412	0.027211786	0.030946366	0.023477206
413	0.027529357	0.031294129	0.023764585
414	0.027855214	0.03164678	0.024063648
415	0.028189429	0.032002538	0.024376319
416	0.0285415	0.032387414	0.024695586
417	0.028862143	0.032743715	0.02498057
418	0.029163786	0.033082886	0.025244686
419	0.029556714	0.033509618	0.02560381
420	0.029941214	0.033928748	0.025953681
421	0.03032	0.034343099	0.026296901
422	0.030697929	0.034756887	0.02663897
423	0.031124357	0.035214311	0.027034403
424	0.031536357	0.035656589	0.027416125
425	0.031908929	0.036060382	0.027757476
426	0.032215071	0.036398913	0.02803123
427	0.032564286	0.036779371	0.0283492
428	0.032960929	0.037206244	0.028715613
429	0.033343643	0.03762273	0.029064556
430	0.033773929	0.038099881	0.029447976
431	0.034211357	0.038588904	0.02983381
432	0.034590357	0.039012711	0.030168004
433	0.034957929	0.039417507	0.03049835
434	0.035316	0.039805387	0.030826613
435	0.035668429	0.040178459	0.031158398
436	0.036028857	0.040566814	0.0314909
437	0.036360429	0.040927963	0.031792894
438	0.036667	0.041265361	0.032068639
439	0.036999643	0.041626454	0.032372832
440	0.037309929	0.041965699	0.032654159
441	0.037613714	0.042298998	0.032928431
442	0.037950429	0.042666351	0.033234506
443	0.038256714	0.042995531	0.033517898
444	0.038559286	0.043320836	0.033797736
445	0.038874214	0.043662859	0.03408557
446	0.039191286	0.044006273	0.034376298
447	0.039478857	0.044319522	0.034638193
448	0.039735643	0.044600838	0.034870448
449	0.0399925	0.044881985	0.035103015
450	0.0402665	0.045177933	0.035355067
451	0.040552143	0.045483885	0.0356204
452	0.040839143	0.045790238	0.035888048
453	0.041081286	0.046054909	0.036107662
454	0.041323786	0.046320266	0.036327305
455	0.041602071	0.046620811	0.036583332
456	0.041862714	0.046907939	0.036817489
457	0.042114429	0.04718601	0.037042847
458	0.042355143	0.047452547	0.037257739
459	0.042594929	0.047707261	0.037482596
460	0.042860714	0.047991455	0.037729973
461	0.043134643	0.048285898	0.037983388
462	0.0433505	0.048522238	0.038178762
463	0.043598429	0.048791837	0.03840502
464	0.043830214	0.049043495	0.038616933
465	0.043993929	0.049221112	0.038766745
466	0.044221143	0.049467728	0.038974557
467	0.0444665	0.049732426	0.039200574
468	0.044721786	0.050005454	0.039438118
469	0.044942857	0.050255107	0.039630607
470	0.0451335	0.050463541	0.039803459
471	0.045314357	0.050656685	0.03997203
472	0.045576143	0.050945325	0.040206961
473	0.045784429	0.051172522	0.040396335
474	0.045993286	0.051398666	0.040587905
475	0.046259143	0.051686824	0.040831462
476	0.046433286	0.051880139	0.040986432
477	0.046618714	0.052081611	0.041155818
478	0.046841643	0.052317441	0.041365845
479	0.047069929	0.052565289	0.041574568
480	0.047266143	0.052779642	0.041752643
481	0.047443643	0.052973315	0.041913971
482	0.047675857	0.053217736	0.042133979
483	0.047903857	0.053452484	0.042355231
484	0.048124929	0.053681716	0.042568141
485	0.048324643	0.053901669	0.042747617
486	0.048521857	0.054120947	0.042922767
487	0.048732	0.054356058	0.043107942
488	0.048962	0.054615421	0.043308579
489	0.049209286	0.054887463	0.043531108
490	0.049445071	0.055141291	0.043748852
491	0.049666286	0.055374522	0.043958049
492	0.049875143	0.055594983	0.044155303
493	0.050089286	0.055826016	0.044352556
494	0.050302071	0.05605611	0.044548032
495	0.050503571	0.05626906	0.044738082
496	0.050737357	0.056521914	0.044952801
497	0.050980571	0.056783941	0.045177202
498	0.051229071	0.057048483	0.045409659
499	0.051440857	0.05728125	0.045600464
500	0.051673071	0.057532345	0.045813798
501	0.051921429	0.057797538	0.046045319
502	0.052130071	0.058031189	0.046228954
503	0.052397071	0.058323895	0.046470248
504	0.052677143	0.058628176	0.046726109
505	0.052906786	0.058876145	0.046937427
506	0.053132857	0.059113511	0.047152204
507	0.053377143	0.059371354	0.047382931
508	0.053655714	0.059669989	0.04764144
509	0.053935857	0.059965891	0.047905823
510	0.054192286	0.060239168	0.048145404
511	0.0544285	0.060493729	0.048363271
512	0.054702214	0.060789659	0.048614769
513	0.054961786	0.061069547	0.048854025
514	0.055216429	0.061343427	0.049089431
515	0.0554775	0.061624094	0.049330906
516	0.055770714	0.061940487	0.049600942
517	0.056081929	0.062280863	0.049882994
518	0.056407286	0.0626439	0.050170672
519	0.056714714	0.062986531	0.050442898
520	0.057019357	0.063320944	0.050717771
521	0.057319	0.063644401	0.050993599
522	0.057596429	0.063941559	0.051251298
523	0.057895714	0.064262071	0.051529358
524	0.058211714	0.064600328	0.0518231
525	0.058537643	0.06494589	0.052129396
526	0.058917929	0.065355924	0.052479933
527	0.059278857	0.065752284	0.052805431
528	0.059573214	0.066086583	0.053059845
