Wavelength	Mean	Std+	Std-
350	0.009621133	0.010909253	0.008333013
351	0.009701733	0.010949006	0.00845446
352	0.0096482	0.010882451	0.008413949
353	0.0101702	0.01141266	0.00892774
354	0.0103322	0.011598177	0.009066223
355	0.0101058	0.011411105	0.008800495
356	0.010127467	0.011419673	0.00883526
357	0.009861067	0.01114744	0.008574694
358	0.009591533	0.010894828	0.008288239
359	0.009956333	0.011330062	0.008582605
360	0.010227267	0.011598551	0.008855982
361	0.010244667	0.011597439	0.008891894
362	0.009816	0.011163906	0.008468094
363	0.010234067	0.011545805	0.008922328
364	0.0106138	0.011918866	0.009308734
365	0.0108376	0.012163381	0.009511819
366	0.010817267	0.012167453	0.009467081
367	0.010697867	0.012089714	0.009306019
368	0.010669133	0.012103788	0.009234479
369	0.011341133	0.0127427	0.009939567
370	0.011434467	0.012829873	0.01003906
371	0.011274933	0.012685029	0.009864837
372	0.010990267	0.012436846	0.009543688
373	0.011098933	0.012522804	0.009675062
374	0.0113084	0.012744881	0.009871919
375	0.011580867	0.013078799	0.010082934
376	0.011852	0.013361995	0.010342005
377	0.0118434	0.013335342	0.010351458
378	0.011740267	0.013196031	0.010284502
379	0.012186267	0.013626314	0.010746219
380	0.012513	0.013998298	0.011027702
381	0.012651533	0.014186126	0.011116941
382	0.0124582	0.013998021	0.010918379
383	0.0127428	0.014280356	0.011205244
384	0.0129856	0.014529902	0.011441298
385	0.0130842	0.014645869	0.011522531
386	0.0128732	0.01445402	0.01129238
387	0.013033333	0.0146255	0.011441167
388	0.013419733	0.01501296	0.011826507
389	0.013576333	0.015152162	0.012000505
390	0.0135658	0.015143573	0.011988027
391	0.013590067	0.015189949	0.011990184
392	0.013862067	0.015509596	0.012214538
393	0.0141254	0.015794069	0.012456731
394	0.0143136	0.015986036	0.012641164
395	0.014406	0.016063191	0.012748809
396	0.0147242	0.016436938	0.013011462
397	0.015044067	0.016763111	0.013325022
398	0.0153396	0.017035693	0.013643507
399	0.015517	0.017214288	0.013819712
400	0.015603467	0.017300666	0.013906267
401	0.0156734	0.017377666	0.013969134
402	0.0157978	0.017529562	0.014066038
403	0.016090667	0.017851602	0.014329731
404	0.016340867	0.018134567	0.014547167
405	0.016496067	0.018324495	0.014667639
406	0.016636667	0.018452133	0.0148212
407	0.0169424	0.018755288	0.015129512
408	0.017330867	0.019151596	0.015510137
409	0.017344733	0.019185056	0.01550441
410	0.0175286	0.019400562	0.015656638
411	0.017796467	0.019703147	0.015889787
412	0.0180948	0.0200297	0.0161599
413	0.0182908	0.020236411	0.016345189
414	0.018494	0.020450237	0.016537763
415	0.018745133	0.020717328	0.016772939
416	0.019019	0.021018555	0.017019445
417	0.019285	0.021317314	0.017252686
418	0.019539133	0.021607894	0.017470372
419	0.0197558	0.021848321	0.017663279
420	0.0200522	0.022170153	0.017934247
421	0.020340533	0.022483624	0.018197443
422	0.020474733	0.022638982	0.018310485
423	0.0207582	0.022944961	0.018571439
424	0.0210536	0.023261028	0.018846172
425	0.021310933	0.023535019	0.019086848
426	0.021544	0.023805409	0.019282591
427	0.0217756	0.024068075	0.019483125
428	0.0220142	0.02432962	0.01969878
429	0.022334667	0.02467046	0.019998874
430	0.0226292	0.02499389	0.02026451
431	0.022910467	0.025308689	0.020512245
