Wavelength	Mean	Std+	Std-
350	0.077349	0.089408755	0.065289245
351	0.077344	0.089399528	0.065288472
352	0.0775022	0.08957003	0.06543437
353	0.077953733	0.090012527	0.06589494
354	0.078233467	0.090310215	0.066156718
355	0.078325133	0.09044274	0.066207527
356	0.0784898	0.090570039	0.066409561
357	0.0785498	0.090647066	0.066452534
358	0.078606333	0.090740141	0.066472525
359	0.078882667	0.091009311	0.066756023
360	0.079348133	0.091458341	0.067237925
361	0.079805867	0.091921667	0.067690066
362	0.080146067	0.092316372	0.067975761
363	0.080574133	0.092782648	0.068365618
364	0.080878	0.093117476	0.068638524
365	0.081032267	0.093296399	0.068768134
366	0.081112133	0.093387388	0.068836879
367	0.081426533	0.093706687	0.06914638
368	0.081880333	0.094160935	0.069599731
369	0.082302133	0.094580393	0.070023874
370	0.0824338	0.094721208	0.070146392
371	0.082539133	0.094825899	0.070252367
372	0.0827956	0.095053335	0.070537865
373	0.083078667	0.095389811	0.070767523
374	0.083438667	0.095799111	0.071078222
375	0.083887867	0.096280338	0.071495395
376	0.084337533	0.096765686	0.07190938
377	0.084708133	0.097186053	0.072230213
378	0.085038267	0.097567763	0.07250877
379	0.085424933	0.097958083	0.072891784
380	0.085676867	0.098221634	0.0731321
381	0.085918533	0.098466095	0.073370972
382	0.0862536	0.098775249	0.073731951
383	0.086593067	0.099132725	0.074053408
384	0.087053133	0.099623192	0.074483074
385	0.0876628	0.10027034	0.07505526
386	0.088155	0.100835131	0.075474869
387	0.088387933	0.101141472	0.075634394
388	0.0884888	0.101304884	0.075672716
389	0.08892	0.101733706	0.076106294
390	0.089315933	0.102130559	0.076501308
391	0.089653867	0.102475508	0.076832225
392	0.089895467	0.102735692	0.077055241
393	0.090246467	0.103095346	0.077397588
394	0.090604467	0.103472594	0.077736339
395	0.090938867	0.103840278	0.078037456
396	0.0912582	0.104176597	0.078339803
397	0.091704	0.104662417	0.078745583
398	0.092193933	0.105205656	0.079182211
399	0.092489333	0.105546381	0.079432286
400	0.0926688	0.105730819	0.079606781
401	0.092812067	0.105862933	0.0797612
402	0.092992333	0.106030433	0.079954234
403	0.093164267	0.106185033	0.0801435
404	0.093397533	0.106392078	0.080402989
405	0.093720933	0.106677395	0.080764471
406	0.093884667	0.106834324	0.080935009
407	0.094135667	0.107083877	0.081187457
408	0.094448267	0.10740062	0.081495913
409	0.0946798	0.10765187	0.08170773
410	0.094930533	0.10791179	0.081949277
411	0.095190067	0.108175654	0.082204479
412	0.0954594	0.108449205	0.082469595
413	0.095718133	0.108701069	0.082735198
414	0.0959812	0.108956051	0.083006349
415	0.096259667	0.109227603	0.08329173
416	0.096507933	0.109468511	0.083547355
417	0.0967196	0.109668769	0.083770431
418	0.096910333	0.109845972	0.083974695
419	0.0971946	0.110127895	0.084261305
420	0.097446267	0.110377582	0.084514952
421	0.097689133	0.110619079	0.084759188
422	0.097959333	0.110888654	0.085030012
423	0.0982024	0.111130662	0.085274138
424	0.098455133	0.11137587	0.085534397
425	0.098737133	0.11164019	0.085834077
426	0.099012133	0.111896536	0.086127731
427	0.099269333	0.112141467	0.086397199
428	0.099515	0.112381555	0.086648445
429	0.099842867	0.11270629	0.086979443
430	0.100167733	0.113030008	0.087305459
431	0.100486467	0.113351833	0.0876211
432	0.100798133	0.113675205	0.087921062
433	0.101121133	0.114009372	0.088232894
434	0.101426733	0.114324584	0.088528883
435	0.101699867	0.114604922	0.088794811
436	0.1019354	0.114825974	0.089044826
437	0.1021892	0.1150571	0.0893213
438	0.102463467	0.115302973	0.08962396
439	0.102719467	0.115545503	0.08989343
440	0.1029954	0.115809774	0.090181026
441	0.103284333	0.116089855	0.090478811
442	0.1035856	0.116388988	0.090782212
443	0.103823467	0.116624158	0.091022776
444	0.104043667	0.116834612	0.091252722
445	0.1042696	0.117036636	0.091502564
446	0.104479	0.117228467	0.091729533
447	0.1047218	0.117455676	0.091987924
448	0.105003733	0.117722877	0.09228459
449	0.105272267	0.117979532	0.092565001
450	0.105474	0.118172248	0.092775752
451	0.105641867	0.118331587	0.092952147
452	0.105846	0.118518527	0.093173473
453	0.106049667	0.118696222	0.093403111
454	0.106249667	0.118872668	0.093626665
455	0.106442067	0.119053983	0.093830151
456	0.106691733	0.119295223	0.094088244
457	0.106908867	0.119505144	0.094312589
458	0.107074467	0.119663685	0.094485248
459	0.107255	0.119819147	0.094690853
460	0.107419933	0.119961765	0.094878102
461	0.107577067	0.120099333	0.0950548
462	0.107746667	0.120255349	0.095237984
463	0.107909933	0.12039817	0.095421697
464	0.108081	0.120546734	0.095615266
465	0.108274733	0.120719625	0.095829842
466	0.108410867	0.120836582	0.095985152
467	0.1085518	0.120959559	0.096144041
468	0.108711467	0.121102337	0.096320596
469	0.108939733	0.121319032	0.096560435
470	0.109120867	0.121483092	0.096758641
471	0.109263933	0.121605731	0.096922136
472	0.1093938	0.121718734	0.097068866
473	0.109542733	0.121845889	0.097239578
474	0.109697067	0.121979539	0.097414595
475	0.1098464	0.122115998	0.097576802
476	0.1100296	0.122278025	0.097781175
477	0.110209667	0.122437226	0.097982107
478	0.110378067	0.122587802	0.098168331
479	0.110567533	0.12275613	0.098378937
480	0.110750067	0.122919731	0.098580402
481	0.110923667	0.12307399	0.098773343
482	0.111076	0.123193041	0.098958959
483	0.111232333	0.123325523	0.099139144
484	0.111387	0.12345977	0.09931423
485	0.111526667	0.123578672	0.099474661
486	0.11172	0.123745256	0.099694744
487	0.111936667	0.12394049	0.099932843
488	0.112170467	0.124162668	0.100178265
489	0.112412533	0.12439592	0.100429147
490	0.112627067	0.1245956	0.100658533
491	0.112813067	0.124760768	0.100865366
492	0.112974733	0.124891323	0.101058144
493	0.11317	0.125064349	0.101275651
494	0.113378467	0.125253498	0.101503435
495	0.113578333	0.125427348	0.101729319
496	0.1137558	0.125584958	0.101926642
497	0.113935733	0.125740667	0.1021308
498	0.114130267	0.125901574	0.102358959
499	0.114374867	0.126121554	0.102628179
500	0.1145936	0.126318282	0.102868918
501	0.114788867	0.126493203	0.10308453
502	0.115019133	0.126700748	0.103337518
503	0.1152326	0.126897763	0.103567437
504	0.115437733	0.127085832	0.103789635
505	0.115646933	0.127265426	0.104028441
506	0.1158636	0.127456893	0.104270307
507	0.116081333	0.127649135	0.104513532
508	0.116299267	0.127839515	0.104759019
509	0.116495867	0.128011134	0.104980599
510	0.116717533	0.128209472	0.105225595
511	0.116961933	0.12843122	0.105492647
512	0.1171584	0.128599664	0.105717136
513	0.117356533	0.128769686	0.105943381
514	0.1175562	0.128941641	0.106170759
515	0.1177528	0.129112283	0.106393317
516	0.117961467	0.129297784	0.106625149
517	0.118212533	0.129523438	0.106901629
518	0.1185354	0.129815188	0.107255612
519	0.118791067	0.130050659	0.107531474
520	0.119055733	0.130296403	0.107815063
521	0.1193286	0.130550285	0.108106915
522	0.119505867	0.130699724	0.108312009
523	0.119677533	0.130840435	0.108514632
524	0.119852067	0.130983202	0.108720932
525	0.120049667	0.131152371	0.108946962
526	0.120287733	0.131361581	0.109213885
527	0.120542467	0.131586262	0.109498671
528	0.120808	0.131819221	0.109796779
529	0.1210548	0.132047049	0.110062551
530	0.121276	0.132245755	0.110306245
531	0.1214706	0.132413154	0.110528046
532	0.121683867	0.132598108	0.110769626
533	0.1219012	0.132787573	0.111014827
534	0.122127667	0.13298696	0.111268373
535	0.1223792	0.13321336	0.11154504
536	0.1225868	0.133394509	0.111779091
537	0.122792867	0.133573645	0.112012088
538	0.123031533	0.133785172	0.112277895
539	0.1232406	0.133967782	0.112513418
540	0.123456667	0.134157052	0.112756282
541	0.123685	0.134358388	0.113011612
542	0.123916733	0.134564142	0.113269324
543	0.124137333	0.13475958	0.113515086
544	0.124349	0.134946274	0.113751726
545	0.124561333	0.13513098	0.113991686
546	0.1247556	0.135300985	0.114210215
547	0.124956867	0.135478092	0.114435641
548	0.125192267	0.135685382	0.114699151
549	0.125432533	0.135900263	0.114964804
550	0.125659667	0.136103234	0.115216099
551	0.1258686	0.136288988	0.115448212
552	0.126096467	0.136492248	0.115700685
553	0.126338667	0.136710881	0.115966452
554	0.1265822	0.136931349	0.116233051
555	0.126765933	0.137090572	0.116441295
556	0.1269606	0.137262341	0.116658859
557	0.127171267	0.137449818	0.116892715
558	0.127411533	0.137664514	0.117158553
559	0.127646867	0.13787935	0.117414383
560	0.127880467	0.138093685	0.117667248
561	0.128111067	0.138305602	0.117916531
562	0.1282978	0.138468291	0.118127309
563	0.128499667	0.138646949	0.118352384
564	0.128717	0.138842327	0.118591673
565	0.128946067	0.139053721	0.118838412
566	0.1291704	0.139256985	0.119083815
567	0.129393333	0.139458334	0.119328333
568	0.129616133	0.139662231	0.119570036
569	0.1298288	0.139854423	0.119803177
570	0.130056933	0.140059545	0.120054321
571	0.130312133	0.140289015	0.120335252
572	0.1305228	0.140482874	0.120562726
573	0.130745333	0.140689629	0.120801037
574	0.130980133	0.14090887	0.121051397
575	0.1312152	0.141131072	0.121299328
576	0.131448533	0.141347953	0.121549113
577	0.131680667	0.141561349	0.121799984
578	0.131906867	0.141767133	0.1220466
579	0.132167533	0.142004361	0.122330706
580	0.132416267	0.142233062	0.122599472
581	0.132631333	0.142434803	0.122827864
582	0.132856867	0.142647208	0.123066525
583	0.133072333	0.142846833	0.123297833
584	0.133279067	0.143034507	0.123523626
585	0.133493133	0.143230472	0.123755795
586	0.133708333	0.14342295	0.123993717
587	0.133920667	0.143611489	0.124229845
