Wavelength	Mean	Std+	Std-
351	0.10789345	0.115518534	0.100268366
352	0.107834675	0.115385802	0.100283548
353	0.10832265	0.115840081	0.100805219
354	0.10850655	0.116034372	0.100978728
355	0.10838545	0.11596608	0.10080482
356	0.10885055	0.116420828	0.101280272
357	0.109244225	0.116805847	0.101682603
358	0.109632675	0.11718691	0.10207844
359	0.110165875	0.117708612	0.102623138
360	0.1103121	0.117849062	0.102775138
361	0.110489275	0.118028358	0.102950192
362	0.110950625	0.118504653	0.103396597
363	0.11115715	0.118718208	0.103596092
364	0.1115468	0.119119635	0.103973965
365	0.11214375	0.119734796	0.104552704
366	0.112372875	0.120002992	0.104742758
367	0.1126796	0.120311304	0.105047896
368	0.113056125	0.120681734	0.105430516
369	0.11352505	0.121229647	0.105820453
370	0.113713875	0.121402797	0.106024953
371	0.11404215	0.121702253	0.106382047
372	0.1148639	0.122527866	0.107199934
373	0.115287825	0.122966441	0.107609209
374	0.1157517	0.123444271	0.108059129
375	0.116321675	0.12403103	0.10861232
376	0.1167847	0.124570831	0.108998569
377	0.11721935	0.125060482	0.109378218
378	0.11767335	0.125548863	0.109797837
379	0.1183098	0.126197041	0.110422559
380	0.119020675	0.126930639	0.111110711
381	0.11968795	0.127628106	0.111747794
382	0.120190475	0.128168128	0.112212822
383	0.120831725	0.128848919	0.112814531
384	0.12141935	0.129472145	0.113366555
385	0.121917275	0.130000784	0.113833766
386	0.122507625	0.130672525	0.114342725
387	0.123211375	0.131462913	0.114959837
388	0.12396875	0.132294425	0.115643075
389	0.124607375	0.132916583	0.116298167
390	0.1251607	0.133490015	0.116831385
391	0.125671275	0.134031315	0.117311235
392	0.126178975	0.134555298	0.117802652
393	0.1266669	0.135080162	0.118253638
394	0.1272674	0.135730709	0.118804091
395	0.1279933	0.136515693	0.119470907
396	0.128471775	0.137052872	0.119890678
397	0.129030925	0.137674014	0.120387836
398	0.1296253	0.138331256	0.120919344
399	0.13016125	0.138925693	0.121396807
400	0.13063445	0.139411233	0.121857667
401	0.131086275	0.139868562	0.122303988
402	0.1315875	0.140401	0.122774
403	0.1319244	0.140743369	0.123105431
404	0.132331475	0.141154825	0.123508125
405	0.132884025	0.141716171	0.124051879
406	0.133302825	0.142163484	0.124442166
407	0.1337943	0.142683635	0.124904965
408	0.13434245	0.143261985	0.125422915
409	0.134869725	0.143830387	0.125909063
410	0.1353484	0.144349565	0.126347235
411	0.135823625	0.144860178	0.126787072
412	0.13636655	0.145426615	0.127306485
413	0.136852525	0.145943211	0.127761839
414	0.13734045	0.146463817	0.128217083
415	0.137859525	0.147017196	0.128701854
416	0.138332225	0.147518702	0.129145748
417	0.138865575	0.148081124	0.129650026
418	0.1394462	0.14869187	0.13020053
419	0.1399545	0.14923566	0.13067334
420	0.140483775	0.149798335	0.131169215
421	0.14103035	0.150379859	0.131680841
422	0.1416066	0.151000497	0.132212703
423	0.142233075	0.151668696	0.132797454
424	0.142835675	0.152309128	0.133362222
425	0.143385625	0.152891741	0.133879509
426	0.1439826	0.153513713	0.134451487
427	0.1446074	0.154172679	0.135042121
428	0.1452572	0.154866917	0.135647483
429	0.145884875	0.15554835	0.1362214
430	0.1465748	0.156293097	0.136856503
431	0.147299725	0.157076273	0.137523177
432	0.148046375	0.157892514	0.138200236
433	0.148803125	0.158705406	0.138900844
434	0.149528675	0.159482621	0.139574729
435	0.1502055	0.160209917	0.140201083
436	0.1508327	0.160872171	0.140793229
437	0.15151225	0.161586705	0.141437795
438	0.152248275	0.162359805	0.142136745
439	0.1529371	0.163092667	0.142781533
440	0.153621625	0.163824821	0.143418429
441	0.154308325	0.164562123	0.144054527
442	0.15503015	0.165338976	0.144721324
443	0.1556859	0.166047118	0.145324682
444	0.15632205	0.166728081	0.145916019
445	0.156963375	0.167401131	0.146525619
446	0.157626975	0.168111976	0.147141974
447	0.158305875	0.16883841	0.14777334
448	0.15900155	0.169580459	0.148422641
449	0.159661775	0.170288503	0.149035047
450	0.1602644	0.170935488	0.149593312
451	0.160838625	0.171549919	0.150127331
452	0.161445225	0.172188806	0.150701644
453	0.162024425	0.172805922	0.151242928
454	0.16258675	0.173409601	0.151763899
455	0.16313375	0.174000917	0.152266583
456	0.16373495	0.174644402	0.152825498
457	0.164328225	0.175281293	0.153375157
458	0.16489505	0.175892955	0.153897145
459	0.16536805	0.176400933	0.154335167
460	0.1658588	0.176925819	0.154791781
461	0.1663631	0.177463578	0.155262622
462	0.16686525	0.17799794	0.15573256
463	0.167341425	0.178504989	0.156177861
464	0.16779925	0.178992179	0.156606321
465	0.16823455	0.179453432	0.157015668
466	0.1686873	0.179938037	0.157436563
467	0.169131025	0.180413773	0.157848277
