Wavelength	Mean	Std+	Std-
350	0.053562333	0.056642049	0.050482618
351	0.054034714	0.057105013	0.050964416
352	0.05390981	0.057083398	0.050736221
353	0.054359952	0.057524623	0.051195282
354	0.054513619	0.057698339	0.051328899
355	0.054348667	0.057586221	0.051111112
356	0.05453281	0.057760317	0.051305302
357	0.054924905	0.058170569	0.05167924
358	0.055393857	0.058670353	0.052117361
359	0.055702905	0.058992528	0.052413282
360	0.056012381	0.059305469	0.052719293
361	0.056377048	0.059631522	0.053122573
362	0.056855143	0.059997353	0.053712932
363	0.057161857	0.060379947	0.053943767
364	0.057452048	0.06074563	0.054158465
365	0.05774019	0.061083019	0.054397362
366	0.057979667	0.061329206	0.054630128
367	0.058276238	0.061628721	0.054923755
368	0.058643429	0.061995751	0.055291106
369	0.059162952	0.062510718	0.055815187
370	0.059589476	0.062941624	0.056237329
371	0.059960762	0.063337302	0.056584222
372	0.060274095	0.063708574	0.056839617
373	0.06059619	0.064085386	0.057106995
374	0.061142571	0.064636866	0.057648277
375	0.061952524	0.065395154	0.058509893
376	0.062349143	0.065806367	0.058891919
377	0.062918762	0.066405619	0.059431905
378	0.063562286	0.067079328	0.060045243
379	0.063913571	0.067417642	0.060409501
380	0.064379524	0.067970968	0.06078808
381	0.064887667	0.0685695	0.061205834
382	0.065389667	0.069080013	0.06169932
383	0.065865381	0.069606144	0.062124618
384	0.066544143	0.070320149	0.062768137
385	0.067477857	0.071260665	0.063695049
386	0.067835286	0.071657377	0.064013194
387	0.068369762	0.072270078	0.064469446
388	0.068985667	0.072977809	0.064993524
389	0.069360476	0.073362222	0.06535873
390	0.070056476	0.074055761	0.066057192
391	0.070673667	0.074700566	0.066646767
392	0.070809524	0.074948273	0.066670775
393	0.071602857	0.075716204	0.06748951
394	0.072401952	0.076496096	0.068307809
395	0.073048238	0.077159482	0.068936994
396	0.073507667	0.077671127	0.069344206
397	0.074068524	0.07825376	0.069883288
398	0.074638286	0.078835173	0.070441398
399	0.074900667	0.079164507	0.070636826
400	0.075371143	0.079685432	0.071056853
401	0.075887048	0.080224533	0.071549562
402	0.076358619	0.080669117	0.072048122
403	0.076745476	0.081093837	0.072397115
404	0.077210619	0.081598314	0.072822925
405	0.077814	0.082227413	0.073400587
406	0.078230619	0.08264794	0.073813298
407	0.078646905	0.083088258	0.074205552
408	0.079081	0.083562548	0.074599452
409	0.079626714	0.084146899	0.075106529
410	0.080110952	0.084675634	0.075546271
411	0.080576714	0.085180561	0.075972867
412	0.081081857	0.085703987	0.076459727
413	0.081709238	0.086351746	0.07706673
414	0.08226781	0.086934217	0.077601402
415	0.082692095	0.087386912	0.077997279
416	0.083317667	0.088017118	0.078618215
417	0.083922857	0.088653831	0.079191883
418	0.084507619	0.089290903	0.079724336
419	0.085158048	0.089960465	0.080355631
420	0.085790476	0.090640695	0.080940258
421	0.086439286	0.091345281	0.081533291
422	0.087178524	0.092119128	0.08223792
423	0.087883571	0.092866347	0.082900796
424	0.088607952	0.093634564	0.08358134
425	0.089386619	0.094457082	0.084316156
426	0.090099333	0.09523178	0.084966887
427	0.090961381	0.096135977	0.085786785
428	0.091970476	0.097171203	0.086769749
429	0.09282219	0.098118811	0.08752557
430	0.093816476	0.099181526	0.088451426
431	0.094883238	0.100300955	0.089465521
432	0.095954619	0.101424217	0.090485021
433	0.096953286	0.102504557	0.091402014
434	0.097955952	0.103576965	0.092334939
435	0.099015524	0.104671559	0.093359489
436	0.100003095	0.105727706	0.094278485
437	0.101009048	0.106801372	0.095216723
438	0.102043952	0.107900944	0.096186961
439	0.103060667	0.108979531	0.097141802
440	0.104124095	0.110094248	0.098153942
441	0.105167857	0.111188768	0.099146946
442	0.106035476	0.11213065	0.099940303
443	0.106955333	0.113113134	0.100797532
444	0.107842571	0.114054651	0.101630492
445	0.108635286	0.114892176	0.102378395
446	0.109444048	0.115738038	0.103150057
447	0.110220619	0.116555237	0.103886001
448	0.110960571	0.117339994	0.104581149
449	0.11162619	0.11804621	0.105206171
450	0.112203762	0.118663911	0.105743613
451	0.112725667	0.119221265	0.106230068
452	0.113246095	0.119757822	0.106734368
453	0.113775429	0.120284062	0.107266796
454	0.114246286	0.12075722	0.107735351
455	0.114580143	0.1211205	0.108039785
456	0.11502581	0.121563995	0.108487624
457	0.115455	0.122001925	0.108908075
458	0.115838286	0.122412264	0.109264308
459	0.116108333	0.12269558	0.109521087
460	0.116375048	0.122962748	0.109787347
461	0.116642857	0.123222988	0.110062726
462	0.116923905	0.123501834	0.110345975
463	0.117148905	0.123730883	0.110566927
464	0.117388333	0.123974947	0.11080172
465	0.117708952	0.124296655	0.111121249
466	0.117944952	0.124541371	0.111348533
467	0.118156	0.124757966	0.111554034
468	0.118351048	0.124952854	0.111749241
469	0.118640524	0.125242509	0.112038538
470	0.118944571	0.125546819	0.112342323
471	0.119256714	0.1258607	0.112652728
472	0.119559429	0.126173727	0.112945131
473	0.11986719	0.126500255	0.113234126
474	0.120188476	0.126840602	0.11353635
475	0.120540048	0.127203366	0.113876729
476	0.120966714	0.127641559	0.11429187
477	0.12142081	0.128105431	0.114736188
478	0.121896333	0.128589235	0.115203432
479	0.122328048	0.129073831	0.115582264
480	0.122880714	0.129649528	0.1161119
481	0.123518667	0.1302896	0.116747733
482	0.12406619	0.130866311	0.11726607
483	0.124672762	0.131511257	0.117834267
484	0.125333905	0.132205729	0.118462081
485	0.12605719	0.132934132	0.119180249
486	0.126842238	0.133773779	0.119910697
487	0.127658095	0.134644884	0.120671307
488	0.128496619	0.135523969	0.121469269
489	0.129438095	0.136503521	0.122372669
490	0.13032281	0.137438945	0.123206674
491	0.131165333	0.138340524	0.123990142
492	0.132163952	0.139387101	0.124940804
493	0.133193	0.140466538	0.125919462
494	0.13423681	0.141566684	0.126906935
495	0.135285143	0.142686771	0.127883515
496	0.136407238	0.143852986	0.128961491
497	0.137544762	0.145038974	0.13005055
498	0.138689	0.146249234	0.131128766
499	0.139908095	0.147527842	0.132288349
500	0.141119143	0.148807713	0.133430573
501	0.142327619	0.150092882	0.134562356
502	0.14363381	0.151470154	0.135797465
503	0.144946	0.152841464	0.137050536
504	0.146252048	0.154205114	0.138298981
505	0.147552714	0.155579446	0.139525983
506	0.148882048	0.156979923	0.140784172
507	0.150214048	0.158383467	0.142044629
508	0.15155019	0.159793001	0.14330738
509	0.152880286	0.161209262	0.14455131
510	0.154292143	0.162692102	0.145892183
511	0.155782048	0.164238974	0.147325122
512	0.157185048	0.165717246	0.14865285
513	0.158572476	0.167180641	0.149964312
514	0.159969	0.168652441	0.151285559
515	0.161400905	0.170155494	0.152646316
516	0.162880429	0.171720714	0.154040143
517	0.164407476	0.173335211	0.155479741
518	0.165981048	0.174989705	0.15697239
519	0.167480619	0.176576999	0.158384239
520	0.16903	0.178210517	0.159849483
521	0.17061919	0.17987893	0.161359451
522	0.172128619	0.181470881	0.162786357
523	0.173618905	0.183042438	0.164195371
524	0.175120143	0.184625803	0.165614483
525	0.176690238	0.186282717	0.167097759
526	0.178292048	0.187965525	0.16861857
527	0.179912333	0.189669795	0.170154872
528	0.181566905	0.191419171	0.171714639
529	0.183208857	0.193147631	0.173270083
530	0.184819762	0.194845917	0.174793607
531	0.186398857	0.196513779	0.176283936
532	0.188123048	0.198312971	0.177933125
533	0.18977281	0.200044983	0.179500636
534	0.191390048	0.201750203	0.181029892
535	0.193058619	0.203511295	0.182605943
536	0.194742048	0.205278028	0.184206067
537	0.196403905	0.207024763	0.185783047
538	0.198018	0.208735142	0.187300858
539	0.199715	0.210520243	0.188909757
540	0.201424095	0.212317065	0.190531125
541	0.203123952	0.214104704	0.192143201
542	0.204826667	0.215887252	0.193766081
543	0.206518	0.217659455	0.195376545
544	0.208191952	0.219414884	0.196969021
545	0.209860238	0.221165703	0.198554774
546	0.211525095	0.222914384	0.200135806
547	0.21318319	0.224657223	0.201709158
548	0.214833714	0.226394327	0.203273101
549	0.216497095	0.228138418	0.204855772
550	0.218159524	0.229877156	0.206441891
551	0.219816905	0.231606489	0.208027321
552	0.221433905	0.233301787	0.209566023
553	0.223031714	0.234978343	0.211085086
554	0.22462319	0.236646498	0.212599883
555	0.22624481	0.238329915	0.214159704
556	0.227739476	0.239897843	0.215581109
557	0.229212762	0.241447663	0.216977861
558	0.230755714	0.243061763	0.218449665
559	0.232259238	0.244633123	0.219885353
560	0.233746857	0.24619307	0.221300644
561	0.235215286	0.247740673	0.222689898
562	0.236646762	0.249227711	0.224065813
563	0.238062381	0.250699381	0.225425381
564	0.239467429	0.25216082	0.226774037
565	0.240864429	0.253608454	0.228120403
566	0.242182857	0.254992178	0.229373536
567	0.243475524	0.256350865	0.230600183
568	0.244784333	0.257709213	0.231859454
569	0.24602219	0.259004699	0.233039681
570	0.247271857	0.260308713	0.234235001
571	0.248559714	0.261642504	0.235476924
572	0.249747952	0.262884341	0.236611564
573	0.250931524	0.264111001	0.237752047
