Wavelength	Mean	Std+	Std-
350	0.0282273	0.035560099	0.020894501
351	0.0206372	0.028511053	0.012763347
352	0.0242314	0.03187402	0.01658878
353	0.0262552	0.033751814	0.018758586
354	0.0239053	0.031476446	0.016334154
355	0.018647	0.026976694	0.010317306
356	0.0284942	0.035913245	0.021075155
357	0.0320805	0.039110357	0.025050643
358	0.0302193	0.037183936	0.023254664
359	0.0200835	0.027956913	0.012210087
360	0.0220042	0.029347905	0.014660495
361	0.0234679	0.030797813	0.016137987
362	0.0175516	0.026065571	0.009037629
363	0.0221707	0.029341012	0.015000388
364	0.0258615	0.032668096	0.019054904
365	0.0271636	0.034739553	0.019587647
366	0.0225782	0.029929297	0.015227103
367	0.0247039	0.031407342	0.018000458
368	0.029024	0.035256696	0.022791304
369	0.0252402	0.031982025	0.018498375
370	0.0239686	0.030739016	0.017198184
371	0.0245647	0.031574755	0.017554645
372	0.0272832	0.034811638	0.019754762
373	0.0254093	0.03211385	0.01870475
374	0.024418	0.030702461	0.018133539
375	0.0251126	0.031453413	0.018771787
376	0.0263549	0.034061455	0.018648345
377	0.0230964	0.030675287	0.015517513
378	0.0188396	0.025739381	0.011939819
379	0.0244109	0.031497128	0.017324672
380	0.0221298	0.029323439	0.014936161
381	0.0189883	0.026127075	0.011849525
382	0.0199894	0.026770406	0.013208394
383	0.021196	0.027335274	0.015056726
384	0.0218815	0.028136362	0.015626638
385	0.0219493	0.029247384	0.014651216
386	0.0236304	0.030600109	0.016660691
387	0.0217542	0.028789907	0.014718493
388	0.0182947	0.025588625	0.011000775
389	0.0199484	0.026896493	0.013000307
390	0.0225588	0.029398811	0.015718789
391	0.024097	0.031027318	0.017166682
392	0.0222818	0.029231129	0.015332471
393	0.0222334	0.029053186	0.015413614
394	0.0228461	0.029717384	0.015974816
395	0.0239106	0.031003324	0.016817876
396	0.0211389	0.02836193	0.01391587
397	0.021571	0.028591419	0.014550581
398	0.0237568	0.030476302	0.017037298
399	0.0225837	0.029518702	0.015648698
400	0.0225849	0.029774049	0.015395751
401	0.0233044	0.030617588	0.015991212
402	0.0246492	0.031845539	0.017452861
403	0.0239702	0.031155593	0.016784807
404	0.0232552	0.030344909	0.016165491
405	0.0230105	0.029830683	0.016190317
406	0.0235496	0.030771493	0.016327707
407	0.0243082	0.031638343	0.016978057
408	0.0250062	0.032230246	0.017782154
409	0.0241424	0.03141807	0.01686673
410	0.0240384	0.031281034	0.016795766
411	0.024349	0.03155808	0.01713992
412	0.0249047	0.032144029	0.017665371
413	0.0256088	0.032952791	0.018264809
414	0.0252741	0.032576623	0.017971577
415	0.0233519	0.030373674	0.016330126
416	0.0237909	0.031112318	0.016469482
417	0.0245108	0.032015541	0.017006059
418	0.0251575	0.032710755	0.017604245
419	0.0237995	0.031181867	0.016417133
420	0.0236621	0.030932964	0.016391236
