Wavelength	mean	Std+	Std-
350	0.023303429	0.029264455	0.017342402
351	0.023493857	0.029403505	0.017584209
352	0.023581	0.029592979	0.017569021
353	0.023390143	0.029357525	0.017422761
354	0.023179143	0.029091371	0.017266915
355	0.023008	0.028876293	0.017139707
356	0.023420857	0.029300737	0.017540977
357	0.023318714	0.029223888	0.01741354
358	0.022972571	0.028913659	0.017031483
359	0.022813857	0.028774441	0.016853273
360	0.022987714	0.029051541	0.016923888
361	0.023191143	0.029301376	0.017080909
362	0.023266143	0.029249648	0.017282638
363	0.023300714	0.029385045	0.017216384
364	0.023455	0.02964654	0.01726346
365	0.023718429	0.029990697	0.017446161
366	0.023440714	0.029545453	0.017335976
367	0.023190143	0.029270649	0.017109637
368	0.023059571	0.029173685	0.016945458
369	0.023407571	0.02942872	0.017386423
370	0.023473143	0.029461378	0.017484908
371	0.023372429	0.029322874	0.017421983
372	0.023116286	0.028973744	0.017258827
373	0.023172857	0.029143729	0.017201985
374	0.023340429	0.029411599	0.017269258
375	0.023589286	0.029712381	0.017466191
376	0.023536571	0.029568921	0.017504222
377	0.023651857	0.029656483	0.017647231
378	0.023851286	0.029867786	0.017834786
379	0.023872	0.029846314	0.017897686
380	0.023564	0.02942986	0.01769814
381	0.023350143	0.029189826	0.017510459
382	0.023637857	0.029694467	0.017581247
383	0.023611857	0.029625165	0.017598549
384	0.023490571	0.029460226	0.017520917
385	0.023312571	0.02928213	0.017343012
386	0.023579429	0.029631076	0.017527781
387	0.023918714	0.030028104	0.017809325
388	0.024178857	0.030307471	0.018050244
389	0.023676714	0.029712089	0.017641339
390	0.023678	0.029733021	0.017622979
391	0.023800143	0.029903132	0.017697154
392	0.023738571	0.029847078	0.017630065
393	0.023985286	0.030087853	0.017882719
394	0.024215571	0.030297328	0.018133815
395	0.024355	0.030399078	0.018310922
396	0.024294857	0.030369442	0.018220272
397	0.024109143	0.030205207	0.018013078
398	0.023894714	0.03000957	0.017779859
399	0.023971857	0.030124137	0.017819577
400	0.024165429	0.030291043	0.018039814
401	0.024245143	0.030331556	0.01815873
402	0.023935571	0.030009843	0.0178613
403	0.023954	0.030019938	0.017888062
