Wavelength	Mean	Std+	Std-
350	0.0401703	0.052239493	0.028101107
351	0.0403783	0.052503013	0.028253587
352	0.0405481	0.052708425	0.028387775
353	0.0406007	0.052722254	0.028479146
354	0.0405758	0.05271861	0.02843299
355	0.0405001	0.052723526	0.028276674
356	0.0406721	0.052886575	0.028457625
357	0.040833	0.053107662	0.028558338
358	0.0409351	0.053303512	0.028566688
359	0.040833	0.053272239	0.028393761
360	0.0410886	0.053558988	0.028618212
361	0.0413598	0.053878394	0.028841206
362	0.0414592	0.054083127	0.028835273
363	0.0415695	0.054238088	0.028900912
364	0.0415923	0.054317423	0.028867177
365	0.0415264	0.054325884	0.028726916
366	0.0416323	0.054477048	0.028787552
367	0.0417502	0.054627383	0.028873017
368	0.0418756	0.054782978	0.028968222
369	0.0419982	0.054961103	0.029035297
370	0.0421483	0.055156213	0.029140387
371	0.0422361	0.055273053	0.029199147
372	0.0421684	0.055207708	0.029129092
373	0.0423444	0.055480122	0.029208678
374	0.0425821	0.055837882	0.029326318
375	0.0428521	0.056241047	0.029463153
376	0.0428557	0.056304901	0.029406499
377	0.0428603	0.056391372	0.029329228
378	0.0428844	0.056503039	0.029265761
379	0.0430065	0.05665575	0.02935725
380	0.0430741	0.05674978	0.02939842
381	0.0432549	0.056971009	0.029538791
382	0.0437423	0.057535089	0.029949511
383	0.0438535	0.057727504	0.029979496
384	0.0439186	0.057882674	0.029954526
385	0.0439978	0.058063222	0.029932378
386	0.0442162	0.058477925	0.029954475
387	0.0442548	0.058659875	0.029849725
388	0.0441876	0.058693839	0.029681361
389	0.0442625	0.058848533	0.029676467
390	0.0443812	0.058973092	0.029789308
391	0.0445986	0.059196107	0.030001093
392	0.0450211	0.059693959	0.030348241
393	0.0450373	0.059769672	0.030304928
394	0.0450157	0.059829231	0.030202169
395	0.045034	0.059957084	0.030110916
396	0.0451347	0.060250748	0.030018652
397	0.0453119	0.060575971	0.030047829
398	0.0455266	0.060902605	0.030150595
399	0.0456875	0.0611547	0.0302203
400	0.0457016	0.061209833	0.030193367
401	0.0457225	0.061251698	0.030193302
402	0.0459073	0.061458009	0.030356591
403	0.046043	0.061576137	0.030509863
404	0.0461365	0.061667554	0.030605446
405	0.0461891	0.061748411	0.030629789
406	0.0462787	0.061868969	0.030688431
407	0.0463572	0.06200486	0.03070954
408	0.0464355	0.062161542	0.030709458
409	0.0465874	0.062391359	0.030783441
410	0.0467116	0.062586449	0.030836751
411	0.0468345	0.062769061	0.030899939
412	0.0469921	0.062965896	0.031018304
413	0.0470815	0.063095544	0.031067456
414	0.0471442	0.063192452	0.031095948
415	0.0471896	0.063263334	0.031115866
416	0.0473225	0.06344823	0.03119677
417	0.0474516	0.063624654	0.031278546
418	0.0475668	0.063783284	0.031350316
419	0.0476169	0.063891857	0.031341943
420	0.0477568	0.064082159	0.031431441
421	0.0479104	0.06428351	0.03153729
422	0.0479665	0.064393187	0.031539813
423	0.0480717	0.064553951	0.031589449
424	0.0481533	0.064683141	0.031623459
425	0.0481763	0.06474029	0.03161231
426	0.0482965	0.064887239	0.031705761
427	0.0484362	0.065058496	0.031813904
428	0.0485834	0.065245261	0.031921539
429	0.0486479	0.065383197	0.031912603
430	0.0487488	0.06556076	0.03193684
431	0.0488685	0.065765076	0.031971924
432	0.048984	0.065988519	0.031979481
433	0.0491299	0.06623162	0.03202818
434	0.0492646	0.066444688	0.032084512
435	0.0493672	0.066598836	0.032135564
