Wavelength	Mean	Std+	Std-
350	0.0071386	0.007574324	0.006702876
351	0.0072288	0.007648859	0.006808741
352	0.0070266	0.007560195	0.006493005
353	0.0072764	0.007806176	0.006746624
354	0.0073778	0.00791211	0.00684349
355	0.0072866	0.007787135	0.006786065
356	0.0070596	0.007515242	0.006603958
357	0.007312	0.00771857	0.00690543
358	0.0076772	0.008068634	0.007285766
359	0.007424	0.007886639	0.006961361
360	0.0076508	0.008071793	0.007229807
361	0.0078458	0.008277259	0.007414341
362	0.007704	0.008201536	0.007206464
363	0.0074184	0.007858343	0.006978457
364	0.0074016	0.007811043	0.006992157
365	0.0076792	0.008097411	0.007260989
366	0.0077104	0.008120389	0.007300411
367	0.0075316	0.007995856	0.007067344
368	0.007362	0.007909569	0.006814431
369	0.0078218	0.00832115	0.00732245
370	0.0077256	0.008199329	0.007251871
371	0.0075482	0.007980449	0.007115951
372	0.0075962	0.007946736	0.007245664
373	0.0078394	0.008303896	0.007374904
374	0.0080544	0.008573209	0.007535591
375	0.0081984	0.008654088	0.007742712
376	0.0079364	0.00841191	0.00746089
377	0.0079108	0.008421773	0.007399827
378	0.0079982	0.00856678	0.00742962
379	0.007804	0.00828938	0.00731862
380	0.007943	0.008456683	0.007429317
381	0.007995	0.008550612	0.007439388
382	0.0075576	0.00804604	0.00706916
383	0.007766	0.008290932	0.007241068
384	0.007881	0.008444386	0.007317614
385	0.0077638	0.008319579	0.007208021
386	0.0078858	0.008442822	0.007328778
387	0.008134	0.008702392	0.007565608
388	0.0083792	0.00896665	0.00779175
389	0.0080894	0.008613369	0.007565431
390	0.008269	0.008760519	0.007777481
391	0.0084724	0.008983104	0.007961696
392	0.00829	0.008910768	0.007669232
393	0.0082424	0.008854629	0.007630171
394	0.0082884	0.008846517	0.007730283
395	0.008419	0.008914078	0.007923922
396	0.008167	0.008806982	0.007527018
397	0.008238	0.008926529	0.007549471
398	0.0084506	0.009130993	0.007770207
399	0.0082446	0.008932884	0.007556316
400	0.0082782	0.0089859	0.0075705
401	0.0084124	0.009123957	0.007700843
402	0.0085768	0.009254172	0.007899428
403	0.0085702	0.009215969	0.007924431
404	0.0085572	0.009206387	0.007908013
405	0.008579	0.00927624	0.00788176
406	0.0085238	0.009202976	0.007844624
407	0.008607	0.009277049	0.007936951
408	0.008773	0.009443406	0.008102594
409	0.0087128	0.009386678	0.008038922
410	0.0086938	0.009355958	0.008031642
411	0.0087058	0.009355133	0.008056467
412	0.0087534	0.009406949	0.008099851
413	0.0087186	0.009385929	0.008051271
414	0.0086998	0.009372364	0.008027236
415	0.008731	0.009390752	0.008071248
416	0.0087678	0.009427965	0.008107635
417	0.0087504	0.009414862	0.008085938
418	0.0087012	0.009372554	0.008029846
419	0.008805	0.009480568	0.008129432
420	0.008811	0.009491445	0.008130555
421	0.0087852	0.00946826	0.00810214
422	0.0088152	0.009495431	0.008134969
423	0.0089436	0.009613876	0.008273324
424	0.0090018	0.00967172	0.00833188
425	0.008904	0.009590858	0.008217142
426	0.0089272	0.009607652	0.008246748
427	0.008963	0.009640638	0.008285362
428	0.008999	0.009677761	0.008320239
429	0.0089708	0.00963976	0.00830184
430	0.0090144	0.009698346	0.008330454
431	0.009085	0.009792412	0.008377588
432	0.0091096	0.009820251	0.008398949
433	0.009126	0.009847041	0.008404959
434	0.009125	0.009850707	0.008399293
435	0.0090958	0.009812363	0.008379237
436	0.0091102	0.009833828	0.008386572
437	0.0091276	0.009857259	0.008397941
438	0.0091476	0.009881539	0.008413661
439	0.009227	0.009979951	0.008474049
440	0.0092582	0.010009682	0.008506718
441	0.0092546	0.009994397	0.008514803
442	0.0092266	0.009961315	0.008491885
443	0.0092668	0.010005562	0.008528038
444	0.009292	0.010028899	0.008555101
445	0.0092456	0.009961069	0.008530131
446	0.0092842	0.0100141	0.0085543
447	0.0093528	0.010099405	0.008606195
448	0.0094426	0.010204286	0.008680914
449	0.0094882	0.010249643	0.008726757
450	0.0094684	0.010231442	0.008705358
451	0.0094186	0.010182912	0.008654288
452	0.0094238	0.010184353	0.008663247
453	0.0094416	0.010199702	0.008683498
454	0.009453	0.010211698	0.008694302
455	0.009438	0.010201132	0.008674868
456	0.0095524	0.010331897	0.008772903
457	0.0096026	0.010396402	0.008808798
458	0.0095528	0.010355633	0.008749967
459	0.009565	0.010345889	0.008784111
460	0.0095922	0.010383089	0.008801311
461	0.0096238	0.010440417	0.008807183
462	0.0096254	0.010432813	0.008817987
463	0.0096386	0.010456359	0.008820841
