Wavelength	Mean	Std+	Std-
350	0.0739314	0.10024799	0.04761481
351	0.07431595	0.100708435	0.047923465
352	0.07472215	0.101219777	0.048224523
353	0.0750497	0.101596911	0.048502489
354	0.07536905	0.101984513	0.048753587
355	0.0756924	0.102397126	0.048987674
356	0.07607575	0.102814588	0.049336912
357	0.07638445	0.103206797	0.049562103
358	0.0767176	0.103643754	0.049791446
359	0.0773186	0.104319969	0.050317231
360	0.0777683	0.104898207	0.050638393
361	0.07820925	0.105482413	0.050936087
362	0.07872775	0.106144362	0.051311138
363	0.07913995	0.106704546	0.051575354
364	0.0795223	0.107213499	0.051831101
365	0.0798744	0.10766588	0.05208292
366	0.08006525	0.107917378	0.052213122
367	0.080509	0.108439967	0.052578033
368	0.08107895	0.109094326	0.053063574
369	0.0814994	0.10957075	0.05342805
370	0.08188335	0.110004295	0.053762405
371	0.082285	0.110458043	0.054111957
372	0.082746	0.110980148	0.054511852
373	0.08301855	0.111365304	0.054671796
374	0.0834093	0.111874334	0.054944266
375	0.08396735	0.112550884	0.055383816
376	0.0842809	0.113026923	0.055534877
377	0.08476215	0.113632972	0.055891328
378	0.08536475	0.11433445	0.05639505
379	0.08595495	0.115020297	0.056889603
380	0.086346	0.115477745	0.057214255
381	0.0866746	0.115858936	0.057490264
382	0.08703195	0.116262784	0.057801116
383	0.08743505	0.116747627	0.058122473
384	0.08801255	0.117423277	0.058601823
385	0.08879565	0.118319253	0.059272047
386	0.0891649	0.118896594	0.059433206
387	0.0896313	0.119546898	0.059715702
388	0.09016595	0.120236007	0.060095893
389	0.0907095	0.120871155	0.060547845
390	0.09106395	0.121232842	0.060895058
391	0.0914246	0.121594088	0.061255112
392	0.09199485	0.122229557	0.061760143
393	0.0924039	0.122731086	0.062076714
394	0.09286475	0.123289553	0.062439947
395	0.09341045	0.12393048	0.06289042
396	0.0936976	0.124389576	0.063005624
397	0.0940813	0.124955624	0.063206976
398	0.09453325	0.125581522	0.063484978
399	0.0950429	0.126192195	0.063893605
400	0.0954707	0.126662322	0.064279078
401	0.0958487	0.127058099	0.064639301
402	0.0962167	0.127442283	0.064991117
403	0.0965143	0.127711094	0.065317506
404	0.0968521	0.12801917	0.06568503
405	0.09727005	0.128416671	0.066123429
406	0.09760575	0.128773827	0.066437673
