Wavelength	Mean	Std+	Std-
350	0.008378	0.009910256	0.006845744
351	0.0083234	0.009844003	0.006802797
352	0.008228	0.009701989	0.006754011
353	0.0080494	0.009557768	0.006541032
354	0.0081798	0.00969232	0.00666728
355	0.0085812	0.010062007	0.007100393
356	0.008363	0.009837334	0.006888666
357	0.0084216	0.009897685	0.006945515
358	0.0085526	0.01003198	0.00707322
359	0.0083538	0.009832704	0.006874896
360	0.0082552	0.009749803	0.006760597
361	0.0081554	0.009677707	0.006633093
362	0.0079932	0.009549007	0.006437393
363	0.0080762	0.009587337	0.006565063
364	0.008194	0.009705306	0.006682694
365	0.0083046	0.009870245	0.006738955
366	0.0080674	0.009631556	0.006503244
367	0.0080872	0.009671523	0.006502877
368	0.0082066	0.009807267	0.006605933
369	0.0080606	0.009588379	0.006532821
370	0.0080088	0.009550418	0.006467182
371	0.007975	0.009530896	0.006419104
372	0.0079112	0.009422836	0.006399564
373	0.0081484	0.009660368	0.006636432
374	0.0081992	0.009731299	0.006667101
375	0.0079912	0.009559681	0.006422719
376	0.008432	0.010018321	0.006845679
377	0.0083904	0.00997247	0.00680833
378	0.0080878	0.009658925	0.006516675
379	0.008214	0.009823785	0.006604215
380	0.0082152	0.00980714	0.00662326
381	0.0082026	0.009763884	0.006641316
382	0.008265	0.009813007	0.006716993
383	0.0082004	0.009792557	0.006608243
384	0.008141	0.009768609	0.006513391
385	0.0081142	0.009747305	0.006481095
386	0.008337	0.010008273	0.006665727
387	0.008384	0.010077585	0.006690415
388	0.0082974	0.009999805	0.006594995
389	0.0081694	0.00985367	0.00648513
390	0.0081974	0.009919681	0.006475119
391	0.0082604	0.010026122	0.006494678
392	0.0082612	0.010034192	0.006488208
393	0.0085782	0.010361011	0.006795389
394	0.0087498	0.010546593	0.006953007
395	0.0086748	0.010488212	0.006861388
396	0.0085704	0.010336606	0.006804194
397	0.008538	0.010332544	0.006743456
398	0.0085636	0.010426601	0.006700599
399	0.0086512	0.010529177	0.006773223
400	0.0087348	0.010636815	0.006832785
401	0.0088578	0.010775421	0.006940179
402	0.0090946	0.01099974	0.00718946
403	0.0091178	0.011041058	0.007194542
404	0.0091578	0.011090022	0.007225578
405	0.009274	0.01119671	0.00735129
406	0.009413	0.011365105	0.007460895
407	0.0095716	0.011539085	0.007604115
408	0.0097484	0.011722659	0.007774141
409	0.0099476	0.011956169	0.007939031
410	0.0102198	0.012245625	0.008193975
411	0.0104822	0.012520494	0.008443906
412	0.0106372	0.012696847	0.008577553
413	0.0108412	0.012911807	0.008770593
414	0.0110874	0.013167565	0.009007235
415	0.0113864	0.013478093	0.009294707
