Wavelength	Mean	Std+	Std-
350	0.0203536	0.023776473	0.016930727
351	0.0206138	0.024038513	0.017189087
352	0.02087275	0.024270377	0.017475123
353	0.02061385	0.023997911	0.017229789
354	0.02062885	0.024018275	0.017239425
355	0.02093125	0.024342199	0.017520301
356	0.02081675	0.024234478	0.017399022
357	0.02097525	0.024392871	0.017557629
358	0.0211893	0.02460682	0.01777178
359	0.0210136	0.024446523	0.017580677
360	0.0212435	0.024691916	0.017795084
361	0.0214197	0.02489416	0.01794524
362	0.0212579	0.024778434	0.017737366
363	0.02133065	0.024878781	0.017782519
364	0.0214628	0.025043567	0.017882033
365	0.02163065	0.025248997	0.018012303
366	0.0218009	0.025380954	0.018220846
367	0.0219075	0.025489454	0.018325546
368	0.02197275	0.025580458	0.018365042
369	0.02202445	0.025656621	0.018392279
370	0.0221187	0.025758513	0.018478887
371	0.0221669	0.025811968	0.018521832
372	0.02208505	0.025740266	0.018429834
373	0.0222087	0.025868694	0.018548706
374	0.02242615	0.026109464	0.018742836
375	0.0227205	0.026450938	0.018990062
376	0.0226831	0.026445622	0.018920578
377	0.02282545	0.026625533	0.019025367
378	0.02310495	0.026947984	0.019261916
379	0.0234294	0.027315989	0.019542811
380	0.02341225	0.027289303	0.019535197
381	0.02332935	0.027197744	0.019460956
382	0.02339235	0.027299518	0.019485182
383	0.02346845	0.027427246	0.019509654
384	0.02351975	0.027519959	0.019519541
385	0.0235399	0.027566313	0.019513487
386	0.02379465	0.027883505	0.019705795
387	0.0240027	0.028146399	0.019859001
388	0.0241662	0.02835471	0.01997769
389	0.0242714	0.02847673	0.02006607
390	0.0245721	0.028795448	0.020348752
391	0.02479955	0.029030332	0.020568768
392	0.0246702	0.028882625	0.020457775
393	0.0247351	0.028996163	0.020474037
394	0.0250495	0.029362983	0.020736017
395	0.0256198	0.029975012	0.021264588
396	0.02585125	0.030255872	0.021446628
397	0.02589035	0.030358867	0.021421833
398	0.02583765	0.030372611	0.021302689
399	0.02598	0.030540288	0.021419712
400	0.02612525	0.030694011	0.021556489
401	0.02631655	0.030882753	0.021750347
402	0.02663675	0.031190102	0.022083398
403	0.0268164	0.031368066	0.022264734
404	0.02693895	0.031486774	0.022391126
405	0.027024	0.031561607	0.022486393
406	0.0272247	0.031770192	0.022679208
407	0.02746495	0.032021778	0.022908122
408	0.0277362	0.032307794	0.023164606
409	0.0280303	0.032622995	0.023437605
410	0.028328	0.032937669	0.023718331
411	0.0286199	0.033242491	0.023997309
412	0.0289008	0.033530412	0.024271188
413	0.02913955	0.033774172	0.024504928
414	0.02939925	0.034037387	0.024761113
415	0.02970945	0.034349658	0.025069242
416	0.03003465	0.034667963	0.025401337
417	0.030353	0.034983517	0.025722483
418	0.0306727	0.035304948	0.026040452
419	0.03107415	0.035714653	0.026433647
420	0.0314541	0.036097335	0.026810865
421	0.03180865	0.036451568	0.027165732
422	0.0321187	0.036760842	0.027476558
423	0.03245375	0.037097334	0.027810166
424	0.03279835	0.037443055	0.028153645
425	0.03315325	0.037797446	0.028509054
426	0.0334933	0.038134914	0.028851686
427	0.0338685	0.03851166	0.02922534
428	0.03427645	0.038925718	0.029627182
429	0.03462775	0.039292852	0.029962648
430	0.0350596	0.039740503	0.030378697
431	0.03553365	0.040235321	0.030831979
432	0.0360113	0.040752806	0.031269794
433	0.03636815	0.041137004	0.031599296
434	0.0366957	0.041483577	0.031907823
435	0.03703505	0.0418335	0.0322366
436	0.0373518	0.042145325	0.032558275
437	0.03768685	0.042481175	0.032892525
438	0.03804715	0.042849153	0.033245147
439	0.03845995	0.043267087	0.033652813
440	0.0387969	0.043622839	0.033970961
441	0.0390927	0.043943848	0.034241552
442	0.0394147	0.044284208	0.034545192
443	0.03981955	0.044703098	0.034936002
444	0.0402085	0.045102673	0.035314327
445	0.04051695	0.045417762	0.035616138
446	0.04081715	0.045736898	0.035897402
447	0.04113465	0.046071245	0.036198055
448	0.04147375	0.046423417	0.036524083
449	0.04179265	0.046757369	0.036827931
450	0.0421199	0.047098123	0.037141677
451	0.042447	0.047436898	0.037457102
452	0.0427485	0.047745333	0.037751667
453	0.0430389	0.048049246	0.038028554
454	0.0433151	0.048344281	0.038285919
455	0.0435686	0.048622201	0.038514999
456	0.0439437	0.04901426	0.03887314
457	0.0442853	0.049374489	0.039196111
458	0.0445621	0.049673908	0.039450292
459	0.04487835	0.050008172	0.039748528
460	0.04517295	0.050314235	0.040031665
461	0.04545005	0.050601263	0.040298837
462	0.04570825	0.05088244	0.04053406
463	0.0459612	0.051151288	0.040771112
464	0.04623545	0.051439126	0.041031774
465	0.0465628	0.051780665	0.041344935
466	0.0467939	0.052035415	0.041552385
467	0.0470574	0.052321886	0.041792914
468	0.04738505	0.052669646	0.042100454
469	0.04764325	0.052953613	0.042332887
470	0.0478841	0.053220884	0.042547316
471	0.04811705	0.053480449	0.042753651
472	0.04839025	0.053779631	0.043000869
473	0.04872535	0.054139401	0.043311299
474	0.0490428	0.054477421	0.043608179
475	0.04925345	0.054700621	0.043806279
476	0.0494881	0.054957409	0.044018791
477	0.04974475	0.055239274	0.044250226
478	0.0500266	0.055548375	0.044504825
479	0.0503012	0.055844893	0.044757507
480	0.0505946	0.056155106	0.045034094
481	0.0508906	0.0564633	0.0453179
482	0.05109385	0.0566756	0.0455121
483	0.0513113	0.056901699	0.045720901
484	0.0515549	0.057156781	0.045953019
485	0.0518485	0.057469579	0.046227421
486	0.05212685	0.057788528	0.046465172
487	0.05242535	0.058132104	0.046718596
488	0.05275715	0.05850912	0.04700518
489	0.0530135	0.058802078	0.047224922
490	0.05324425	0.059062084	0.047426416
491	0.0534616	0.059301834	0.047621366
492	0.0537603	0.059618614	0.047901986
493	0.05405675	0.059943146	0.048170354
494	0.05434355	0.060260068	0.048427032
495	0.0546041	0.060542896	0.048665304
496	0.05489205	0.060848211	0.048935889
497	0.05517405	0.061147771	0.049200329
498	0.0554395	0.061432955	0.049446045
499	0.05568745	0.061703625	0.049671275
500	0.0559565	0.061999044	0.049913956
501	0.05624855	0.062321319	0.050175781
502	0.05657475	0.062686434	0.050463066
503	0.0568656	0.063011065	0.050720135
504	0.05713035	0.06330526	0.05095544
505	0.05737215	0.06356968	0.05117462
506	0.0576585	0.063874656	0.051442344
507	0.0579433	0.06418111	0.05170549
508	0.0582079	0.064474631	0.051941169
509	0.0585158	0.064806198	0.052225402
510	0.0588259	0.065141345	0.052510455
511	0.05913265	0.065474415	0.052790885
512	0.05939515	0.065756397	0.053033903
513	0.05967365	0.066051255	0.053296045
