Wavelength	Mean	Std+	Std-
350	0.01251555	0.016546273	0.008484827
351	0.0125971	0.016637064	0.008557136
352	0.01253775	0.016577878	0.008497622
353	0.0126519	0.016719848	0.008583952
354	0.0128656	0.016952877	0.008778323
355	0.0131333	0.01723048	0.00903612
356	0.0129271	0.017043836	0.008810364
357	0.01273215	0.016873778	0.008590522
358	0.01260175	0.016771396	0.008432104
359	0.0126973	0.01689003	0.00850457
360	0.01279125	0.016990186	0.008592314
361	0.0128763	0.017083427	0.008669173
362	0.01294715	0.017173735	0.008720565
363	0.0129913	0.017217096	0.008765504
364	0.01299985	0.017241884	0.008757816
365	0.0129714	0.017247683	0.008695117
366	0.0129083	0.017178344	0.008638256
367	0.0128922	0.017164654	0.008619746
368	0.012931	0.017217058	0.008644942
369	0.01308725	0.017413008	0.008761492
370	0.0129584	0.017312746	0.008604054
371	0.012836	0.017212626	0.008459374
372	0.0129343	0.017327626	0.008540974
373	0.0130797	0.017469359	0.008690041
374	0.01316145	0.017570058	0.008752842
375	0.0131629	0.017619245	0.008706555
376	0.01341525	0.017858912	0.008971588
377	0.01333375	0.017802356	0.008865144
378	0.01307985	0.017598118	0.008561582
379	0.0131704	0.017724395	0.008616405
380	0.01323515	0.017805931	0.008664369
381	0.0133034	0.01788062	0.00872618
382	0.0134011	0.017977862	0.008824338
383	0.0136566	0.018265815	0.009047385
384	0.01375385	0.018383692	0.009124008
385	0.01362445	0.018253977	0.008994923
386	0.0135086	0.018203577	0.008813623
387	0.0135789	0.018318033	0.008839767
388	0.0137327	0.018496005	0.008969395
389	0.013591	0.018349646	0.008832354
390	0.0137976	0.018582119	0.009013081
391	0.0140013	0.018824322	0.009178278
392	0.01387065	0.018732857	0.009008443
393	0.01384665	0.018747011	0.008946289
394	0.01394425	0.018883653	0.009004847
395	0.01416565	0.019143949	0.009187351
396	0.01407735	0.019084693	0.009070007
397	0.01406625	0.019103114	0.009029386
398	0.01410845	0.019178809	0.009038091
399	0.0141542	0.019280735	0.009027665
400	0.0141769	0.019335239	0.009018561
401	0.0142399	0.019435085	0.009044715
402	0.0144314	0.019702885	0.009159915
403	0.0146353	0.019957731	0.009312869
404	0.01478455	0.020150394	0.009418706
405	0.0148615	0.020268164	0.009454836
406	0.01505155	0.02052157	0.00958153
407	0.01519115	0.020721701	0.009660599
408	0.0153046	0.020894418	0.009714782
409	0.015547	0.021209892	0.009884108
410	0.01582095	0.02156252	0.01007938
411	0.0160745	0.021894124	0.010254876
412	0.01624075	0.022131754	0.010349746
413	0.01653665	0.022501808	0.010571492
414	0.0168436	0.022884702	0.010802498
415	0.01713185	0.023252473	0.011011227
416	0.01738865	0.023583181	0.011194119
417	0.01765375	0.023929282	0.011378218
418	0.01793275	0.024294596	0.011570904
419	0.01826385	0.024702137	0.011825563
420	0.018613	0.025132589	0.012093411
421	0.018949	0.025553307	0.012344693
422	0.0192158	0.025908584	0.012523016
423	0.019533	0.026313588	0.012752412
424	0.01984455	0.026707391	0.012981709
425	0.0201294	0.027064901	0.013193899
426	0.0204199	0.02743066	0.01340914
427	0.02071985	0.027807562	0.013632138
428	0.0210309	0.028197992	0.013863808
429	0.02135565	0.028609565	0.014101735
430	0.0216095	0.028947522	0.014271478
431	0.0218381	0.029257109	0.014419091
432	0.02212365	0.029619935	0.014627365
433	0.02243135	0.030007533	0.014855167
434	0.02272525	0.030380413	0.015070087
435	0.02298825	0.030720759	0.015255741
436	0.0232376	0.031040907	0.015434293
437	0.02346445	0.031336172	0.015592728
438	0.02367355	0.031612855	0.015734245
439	0.0239042	0.031915815	0.015892585
440	0.0241282	0.032206977	0.016049423
441	0.02434035	0.032483435	0.016197265
442	0.0245256	0.032737447	0.016313753
443	0.02478385	0.033068259	0.016499441
444	0.0250297	0.033380672	0.016678728
445	0.02520755	0.033611839	0.016803261
446	0.02543505	0.033903047	0.016967053
447	0.02566835	0.034200103	0.017136597
448	0.02589985	0.034494696	0.017305004
449	0.026039	0.034695601	0.017382399
450	0.0261999	0.034918062	0.017481738
451	0.0263768	0.035155721	0.017597879
452	0.02656095	0.035398767	0.017723133
453	0.02674565	0.03563636	0.01785494
454	0.0269351	0.035877646	0.017992554
455	0.02713485	0.036131541	0.018138159
456	0.02731365	0.036365854	0.018261446
457	0.02748345	0.036593837	0.018373063
458	0.02764455	0.036815669	0.018473431
459	0.02784985	0.037074657	0.018625043
460	0.0279795	0.037261799	0.018697201
461	0.02808	0.037421352	0.018738648
462	0.028298	0.03769037	0.01890563
463	0.02848565	0.037926316	0.019044984
464	0.02865415	0.038143452	0.019164848
465	0.02880315	0.038343804	0.019262496
466	0.02894025	0.038535093	0.019345407
467	0.02907705	0.038728771	0.019425329
468	0.0292156	0.038927104	0.019504096
469	0.0293912	0.039145964	0.019636436
470	0.0295622	0.039365899	0.019758501
