Wavelength	Mean	Std+	Std-
350	0.0692474	0.09673576	0.04175904
351	0.06976475	0.097403148	0.042126352
352	0.07009405	0.097869469	0.042318631
353	0.07053905	0.09844712	0.04263098
354	0.07083785	0.098872641	0.042803059
355	0.07099825	0.099155546	0.042840954
356	0.07137555	0.099666379	0.043084721
357	0.07206065	0.100476577	0.043644723
358	0.07282925	0.101377503	0.044280997
359	0.07324755	0.101977189	0.044517911
360	0.0737837	0.10266585	0.04490155
361	0.07431645	0.103362149	0.045270751
362	0.07478285	0.104033851	0.045531849
363	0.07506745	0.104511267	0.045623633
364	0.07548435	0.105095141	0.045873559
365	0.076064	0.105813601	0.046314399
366	0.07669525	0.106571278	0.046819222
367	0.07713215	0.107138192	0.047126108
368	0.07748085	0.107617841	0.047343859
369	0.07796215	0.108218672	0.047705628
370	0.0782437	0.108631451	0.047855949
371	0.07868485	0.10920451	0.04816519
372	0.0796083	0.110249525	0.048967075
373	0.080178	0.110979579	0.049376421
374	0.0806557	0.111627343	0.049684057
375	0.08108135	0.11222995	0.04993275
376	0.08181855	0.113172529	0.050464571
377	0.08227645	0.113801968	0.050750932
378	0.0826004	0.114273585	0.050927215
379	0.0832289	0.115037699	0.051420101
380	0.0835962	0.1155558	0.0516366
381	0.08398135	0.116077073	0.051885627
382	0.0846322	0.116816589	0.052447811
383	0.0851756	0.117531824	0.052819376
384	0.0858292	0.118358827	0.053299573
385	0.0866369	0.119327536	0.053946264
386	0.08692685	0.119859098	0.053994602
387	0.0874384	0.120582594	0.054294206
388	0.0880833	0.121407789	0.054758811
389	0.0886044	0.122058352	0.055150448
390	0.08910185	0.122675872	0.055527828
391	0.0896394	0.123326792	0.055952008
392	0.0903167	0.124113855	0.056519545
393	0.0907879	0.124709095	0.056866705
394	0.0911788	0.125245893	0.057111707
395	0.091505	0.12573755	0.05727245
396	0.09213265	0.126558891	0.057706409
397	0.09266	0.12727474	0.05804526
398	0.0931329	0.127924481	0.058341319
399	0.09372925	0.128664564	0.058793936
400	0.0941825	0.129217442	0.059147558
401	0.0945702	0.129683102	0.059457298
402	0.0949702	0.130157409	0.059782991
403	0.0954011	0.130646472	0.060155728
404	0.09582645	0.131126405	0.060526495
405	0.0962476	0.131603092	0.060892108
406	0.0966789	0.132135501	0.061222299
407	0.09712215	0.132689124	0.061555176
408	0.09757955	0.13326455	0.06189455
409	0.09808045	0.133897815	0.062263085
410	0.0985343	0.134463889	0.062604711
411	0.0989643	0.134995408	0.062933192
412	0.0994026	0.135533011	0.063272189
413	0.0998903	0.13611484	0.06366576
414	0.10034935	0.136662531	0.064036169
415	0.1007579	0.137154772	0.064361028
416	0.101251	0.137735306	0.064766694
417	0.10172285	0.138302001	0.065143699
418	0.10216815	0.138847424	0.065488876
419	0.10256935	0.139337519	0.065801181
420	0.1030351	0.139890183	0.066180017
421	0.10350405	0.140447321	0.066560779
422	0.1038829	0.140924705	0.066841095
423	0.104358	0.14149041	0.06722559
424	0.1048238	0.142038828	0.067608772
425	0.1052403	0.142528163	0.067952437
426	0.1056643	0.143022367	0.068306233
427	0.10610025	0.143534147	0.068666353
428	0.1065498	0.144066728	0.069032872
429	0.107014	0.144631386	0.069396614
430	0.1075205	0.145243213	0.069797787
431	0.1080145	0.145847291	0.070181709
432	0.10839055	0.146342777	0.070438323
433	0.10888065	0.146940412	0.070820888
434	0.1093467	0.147505701	0.071187699
435	0.10972225	0.147974105	0.071470395
436	0.11012955	0.148427046	0.071832054
437	0.11055265	0.148902036	0.072203264
438	0.1109886	0.149401166	0.072576034
439	0.11137955	0.149865339	0.072893761
440	0.11181315	0.150379737	0.073246563
441	0.1122683	0.150917526	0.073619074
442	0.11271625	0.1514375	0.073995
443	0.1131507	0.151950569	0.074350831
444	0.11357755	0.152451323	0.074703777
445	0.1139985	0.15293265	0.07506435
446	0.11436975	0.153375867	0.075363633
447	0.11477895	0.153856655	0.075701245
448	0.11523785	0.154385518	0.076090182
449	0.115701	0.154912931	0.076489069
450	0.1161268	0.155405277	0.076848323
451	0.11652085	0.155865235	0.077176465
452	0.1168749	0.1562745	0.0774753
453	0.11725845	0.156716336	0.077800564
454	0.11766245	0.157179985	0.078144915
455	0.11808955	0.157666781	0.078512319
456	0.1185233	0.158171672	0.078874928
457	0.11895845	0.158677678	0.079239222
458	0.1193889	0.159176285	0.079601515
459	0.11974675	0.159596239	0.079897261
460	0.12012045	0.16003185	0.08020905
461	0.12050725	0.16047886	0.08053564
462	0.1208996	0.160921855	0.080877345
463	0.12132335	0.16140549	0.08124121
464	0.1217489	0.161890098	0.081607702
465	0.1221477	0.162337008	0.081958392
466	0.122543	0.162786493	0.082299507
467	0.1229218	0.163223329	0.082620271
468	0.1232784	0.163641723	0.082915077
469	0.12362795	0.164057366	0.083198534
470	0.12403465	0.164526752	0.083542548
471	0.12447735	0.165028882	0.083925818
472	0.12488855	0.1654952	0.0842819
473	0.1252934	0.165952382	0.084634418
474	0.12567175	0.16638275	0.08496075
475	0.125991	0.166755985	0.085226015
476	0.1263212	0.167132372	0.085510028
477	0.12669825	0.16755954	0.08583696
478	0.12713795	0.168057176	0.086218724
479	0.12749935	0.168472926	0.086525774
480	0.12789295	0.168911106	0.086874794
481	0.12830295	0.169358141	0.087247759
482	0.12863675	0.169727354	0.087546146
483	0.12896225	0.170085236	0.087839264
484	0.12931185	0.170468077	0.088155623
485	0.129733	0.170929058	0.088536942
486	0.13015575	0.171405415	0.088906085
487	0.130565	0.171878805	0.089251195
488	0.13095265	0.172341149	0.089564151
489	0.13136145	0.172808833	0.089914067
490	0.1317406	0.173240107	0.090241093
491	0.13209275	0.173638422	0.090547078
492	0.1324744	0.174064184	0.090884616
493	0.13286275	0.174496971	0.091228529
494	0.1332497	0.174929327	0.091570073
495	0.133623	0.175349702	0.091896298
496	0.13399875	0.175773268	0.092224232
497	0.1343778	0.176196319	0.092559281
498	0.13476425	0.176621424	0.092907076
499	0.1351208	0.177026727	0.093214873
500	0.13550275	0.177460485	0.093545015
501	0.13591055	0.177922432	0.093898668
502	0.13633095	0.178398746	0.094263154
503	0.13671975	0.178843459	0.094596041
504	0.13709365	0.179271257	0.094916043
505	0.13747935	0.179705297	0.095253403
506	0.13782535	0.18009158	0.09555912
507	0.13818665	0.180492851	0.095880449
508	0.1385949	0.180944897	0.096244903
509	0.1389857	0.181377064	0.096594336
510	0.1393647	0.181800573	0.096928827
511	0.1397381	0.182221027	0.097255173
512	0.140154	0.18267611	0.09763189
513	0.140542	0.183103504	0.097980496
514	0.14091885	0.183520689	0.098317011
515	0.14130445	0.183947435	0.098661465
516	0.1417307	0.184421058	0.099040342
517	0.14213905	0.184881887	0.099396213
518	0.1424867	0.185287757	0.099685643
519	0.1428779	0.185745362	0.100010438
520	0.14329165	0.186218788	0.100364512
521	0.14371985	0.186697472	0.100742228
522	0.14414145	0.187158038	0.101124862
523	0.14454185	0.187596241	0.101487459
524	0.1449311	0.188021672	0.101840528
525	0.14531585	0.188438439	0.102193261
526	0.14572425	0.188887022	0.102561478
527	0.14613775	0.189346159	0.102929341
528	0.1465506	0.189811953	0.103289247
529	0.14695925	0.190278275	0.103640225
530	0.14735725	0.190723871	0.103990629
531	0.1477431	0.19114471	0.10434149
532	0.14813965	0.191571522	0.104707778
533	0.14854955	0.192022398	0.105076702
534	0.1489645	0.192487222	0.105441778
535	0.149355	0.192935565	0.105774435
536	0.14976955	0.19339509	0.10614401
537	0.15018995	0.193855865	0.106524035
538	0.15060695	0.194313151	0.106900749
539	0.1510473	0.194798912	0.107295688
540	0.15146305	0.195262582	0.107663518
541	0.1518431	0.195692578	0.107993622
542	0.15226715	0.196172018	0.108362282
543	0.15268525	0.196643228	0.108727272
544	0.1530985	0.197105848	0.109091152
545	0.1535186	0.197566031	0.109471169
546	0.15392445	0.198014288	0.109834612
547	0.15432365	0.198456792	0.110190508
548	0.1547218	0.198898579	0.110545021
549	0.1551586	0.19938427	0.11093293
550	0.1555939	0.199865624	0.111322176
551	0.15601845	0.200330996	0.111705904
552	0.15644445	0.200798665	0.112090235
553	0.15687035	0.201269602	0.112471098
554	0.15729495	0.201741349	0.112848551
555	0.15770995	0.202199227	0.113220673
556	0.1581348	0.202661254	0.113608346
557	0.1585613	0.203126407	0.113996193
558	0.15897715	0.20359127	0.11436303
559	0.1594046	0.204068279	0.114740921
560	0.1598414	0.204555044	0.115127756
561	0.1602862	0.205050284	0.115522116
562	0.1606863	0.205492639	0.115879961
563	0.1611041	0.205952302	0.116255898
564	0.16153495	0.206425471	0.116644429
565	0.1619406	0.206879523	0.117001677
566	0.16236495	0.207343577	0.117386323
567	0.1627979	0.207816881	0.117778919
568	0.1632268	0.208298716	0.118154884
569	0.16364345	0.208759881	0.118527019
570	0.16405715	0.20921765	0.11889665
571	0.1644688	0.209675189	0.119262411
572	0.164925	0.210184902	0.119665098
573	0.1653462	0.210648977	0.120043423
574	0.16573765	0.211074583	0.120400717
575	0.16615385	0.211532687	0.120775013
576	0.1665953	0.212019033	0.121171567
577	0.16704725	0.21251686	0.12157764
578	0.1674847	0.213000176	0.121969224
579	0.16787095	0.213433191	0.122308709
580	0.16827245	0.213884086	0.122660814
581	0.168717	0.21438192	0.12305208
582	0.16916455	0.214866518	0.123462582
583	0.16959185	0.215332355	0.123851345
584	0.1700048	0.21578598	0.12422362
585	0.17045395	0.216275612	0.124632288
586	0.17089325	0.216757767	0.125028733
587	0.17133795	0.217248588	0.125427312
588	0.17180595	0.217766819	0.125845081
589	0.1722199	0.218240059	0.126199741
590	0.17264155	0.218724156	0.126558944
591	0.1730961	0.219240933	0.126951267
592	0.17349455	0.219679337	0.127309763
593	0.1739228	0.220143491	0.127702109
594	0.1743863	0.220641688	0.128130912
595	0.1748098	0.221115833	0.128503767
596	0.17524085	0.221600043	0.128881657
597	0.17567405	0.22209024	0.12925786
598	0.1760954	0.222577572	0.129613228
599	0.1765495	0.223092873	0.130006127
600	0.1770077	0.223615723	0.130399677
601	0.1774491	0.224131347	0.130766853
602	0.17792165	0.224668504	0.131174796
603	0.17836135	0.225178347	0.131544353
604	0.1787633	0.225657081	0.131869519
605	0.1792024	0.226162615	0.132242185
606	0.17965605	0.226679649	0.132632451
607	0.1801077	0.227192869	0.133022531
608	0.18049435	0.227638365	0.133350335
609	0.1809105	0.228099562	0.133721438
610	0.1813393	0.228566245	0.134112355
611	0.18176565	0.229024769	0.134506531
612	0.18216365	0.229452202	0.134875098
613	0.18255735	0.229874156	0.135240544
614	0.18295095	0.230294996	0.135606904
615	0.18337935	0.230743934	0.136014766
616	0.1838009	0.231194138	0.136407662
617	0.1842161	0.23164432	0.13678788
618	0.1846239	0.232089051	0.137158749
619	0.18500025	0.232497189	0.137503311
620	0.1853782	0.232900548	0.137855852
