Wavelength	Mean	Std+	Std-
350	0.04283355	0.053322074	0.032345026
351	0.04263095	0.053144305	0.032117595
352	0.04307465	0.053592302	0.032556998
353	0.0433623	0.053916504	0.032808096
354	0.04376665	0.054339979	0.033193321
355	0.04423355	0.054807525	0.033659575
356	0.04366395	0.054269262	0.033058638
357	0.0439602	0.054617751	0.033302649
358	0.0446187	0.055335983	0.033901417
359	0.0447636	0.055524928	0.034002272
360	0.0448659	0.055688477	0.034043323
361	0.0449796	0.055847424	0.034111776
362	0.04514275	0.056014642	0.034270858
363	0.0453452	0.056323331	0.034367069
364	0.04551765	0.056575602	0.034459698
365	0.04564905	0.056744022	0.034554078
366	0.04571425	0.056836727	0.034591773
367	0.0460086	0.057178741	0.034838459
368	0.0463629	0.05758537	0.03514043
369	0.0463344	0.057564036	0.035104764
370	0.0467661	0.058038238	0.035493962
371	0.04720715	0.058531107	0.035883193
372	0.04733195	0.058699787	0.035964113
373	0.0475658	0.059010628	0.036120972
374	0.0478088	0.059321049	0.036296551
375	0.0480454	0.059609732	0.036481068
376	0.04820835	0.05984663	0.03657007
377	0.0483932	0.060119465	0.036666935
378	0.04861015	0.060433499	0.036786801
379	0.0489022	0.060815027	0.036989373
380	0.04931985	0.061261884	0.037377816
381	0.04957055	0.061551784	0.037589316
382	0.0493272	0.061418333	0.037236067
383	0.0496237	0.061770816	0.037476584
384	0.0500339	0.062230373	0.037837427
385	0.05048955	0.062739846	0.038239254
386	0.0512817	0.06364536	0.03891804
387	0.0514863	0.063965027	0.039007573
388	0.0513681	0.063952684	0.038783516
389	0.0518522	0.064482432	0.039221968
390	0.05212355	0.064820306	0.039426794
391	0.05237065	0.065128249	0.039613051
392	0.0527712	0.065559185	0.039983215
393	0.0530442	0.06586573	0.04022267
394	0.053381	0.066271886	0.040490114
395	0.0538148	0.06681699	0.04081261
396	0.05369075	0.066818191	0.040563309
397	0.05398165	0.067228236	0.040735064
398	0.0544874	0.067842259	0.041132541
399	0.0546602	0.068083365	0.041237035
400	0.0549429	0.06840543	0.04148037
401	0.0552245	0.068706717	0.041742283
402	0.0554206	0.068903932	0.041937268
403	0.05569915	0.069193828	0.042204472
404	0.05594575	0.069467858	0.042423642
405	0.05613525	0.069703838	0.042566662
406	0.0564715	0.070068285	0.042874715
407	0.0567956	0.070443785	0.043147415
408	0.05709145	0.070808465	0.043374435
409	0.05727295	0.071050448	0.043495452
410	0.0575896	0.071417622	0.043761578
411	0.05794975	0.071824412	0.044075088
412	0.05827585	0.072200343	0.044351357
413	0.0585507	0.072516369	0.044585031
414	0.0588352	0.072840406	0.044829994
415	0.059157	0.073202259	0.045111741
416	0.0594053	0.073492018	0.045318582
417	0.05974685	0.073877339	0.045616361
418	0.0601493	0.074325894	0.045972706
419	0.0603174	0.074543218	0.046091582
420	0.0605982	0.074869215	0.046327185
421	0.0609553	0.075273237	0.046637363
422	0.0613799	0.075756885	0.047002915
423	0.06162995	0.076056953	0.047202947
424	0.06189805	0.076371017	0.047425083
425	0.06227095	0.0767877	0.0477542
426	0.06252685	0.077079528	0.047974172
427	0.062818	0.077420271	0.048215729
428	0.0631569	0.07782231	0.04849149
429	0.06354275	0.078262234	0.048823266
430	0.0639462	0.078741191	0.049151209
431	0.0643406	0.079221869	0.049459331
432	0.06467815	0.079644436	0.049711864
433	0.06503315	0.080098867	0.049967433
434	0.06537815	0.080531095	0.050225205
435	0.06570205	0.080914052	0.050490048
436	0.0659871	0.08123076	0.05074344
437	0.06626945	0.081556135	0.050982765
438	0.06656475	0.081907828	0.051221672
439	0.067025	0.082424623	0.051625377
440	0.06733955	0.082815069	0.051864031
441	0.06759455	0.083152593	0.052036507
442	0.06797085	0.083594402	0.052347298
443	0.0683214	0.08401297	0.05262983
444	0.06864485	0.084401773	0.052887927
445	0.06893165	0.084748331	0.053114969
446	0.0692576	0.085136202	0.053378998
447	0.06959735	0.085546233	0.053648467
448	0.06994625	0.085974081	0.053918419
449	0.0702149	0.08631423	0.05411557
450	0.07052095	0.086682827	0.054359073
451	0.0708543	0.087072131	0.054636469
452	0.07119965	0.087468644	0.054930656
