Wavelength	Mean	Std+	Std-
350	0.0742541	0.083140184	0.065368016
351	0.07445915	0.083350956	0.065567344
352	0.07469505	0.083543387	0.065846713
353	0.07541015	0.084324063	0.066496237
354	0.0757825	0.084750421	0.066814579
355	0.0758099	0.084810189	0.066809611
356	0.0763129	0.085316735	0.067309065
357	0.07664655	0.085701542	0.067591558
358	0.0769314	0.086052059	0.067810741
359	0.07740865	0.086545755	0.068271545
360	0.07807725	0.087260938	0.068893562
361	0.07869125	0.087916283	0.069466217
362	0.07909675	0.088334575	0.069858925
363	0.0795437	0.088829476	0.070257924
364	0.07995955	0.089295567	0.070623533
365	0.0803349	0.089717985	0.070951815
366	0.08073165	0.090132809	0.071330491
367	0.0811749	0.090630068	0.071719732
368	0.0816453	0.09116272	0.07212788
369	0.0820972	0.091614714	0.072579686
370	0.08249175	0.092051553	0.072931947
371	0.08294685	0.09257012	0.07332358
372	0.08356765	0.093267604	0.073867696
373	0.0842253	0.093934364	0.074516236
374	0.0848917	0.094661305	0.075122095
375	0.08556775	0.09546914	0.07566636
376	0.0864286	0.096370386	0.076486814
377	0.0871538	0.097173428	0.077134172
378	0.08777955	0.097890708	0.077668392
379	0.08833545	0.098463476	0.078207424
380	0.0889612	0.099098241	0.078824159
381	0.08965205	0.099829946	0.079474154
382	0.09043015	0.100728675	0.080131625
383	0.09137355	0.101751007	0.080996093
384	0.09213605	0.102599195	0.081672905
385	0.092651	0.10321627	0.08208573
386	0.09372605	0.104361048	0.083091052
387	0.09448305	0.105197726	0.083768374
388	0.09502315	0.105821787	0.084224513
389	0.09566405	0.106534002	0.084794098
390	0.0965367	0.107454644	0.085618756
391	0.09733215	0.108306122	0.086358178
392	0.0977479	0.108822381	0.086673419
393	0.09858695	0.109736345	0.087437555
394	0.0994214	0.11065229	0.08819051
395	0.1001415	0.111465532	0.088817468
396	0.10080665	0.112218511	0.089394789
397	0.1016175	0.113104016	0.090130984
398	0.10246665	0.11401907	0.09091423
399	0.10304725	0.114669965	0.091424535
400	0.10353065	0.115194777	0.091866523
401	0.10402365	0.115722783	0.092324517
402	0.10468245	0.116432136	0.092932764
403	0.1051777	0.116956241	0.093399159
404	0.10565325	0.117467715	0.093838785
405	0.10615595	0.118022364	0.094289536
406	0.10683675	0.118767149	0.094906351
407	0.10743365	0.11941459	0.09545271
408	0.10798975	0.120011759	0.095967741
409	0.1087835	0.120857867	0.096709133
410	0.10936645	0.121487305	0.097245595
411	0.10988665	0.122051934	0.097721366
412	0.11051055	0.122723757	0.098297343
413	0.1111236	0.123388641	0.098858559
414	0.1117097	0.124018113	0.099401287
415	0.1122697	0.124607926	0.099931474
416	0.11296565	0.125354717	0.100576583
417	0.11367015	0.126108486	0.101231814
418	0.11437135	0.12685547	0.10188723
419	0.1150276	0.12755117	0.10250403
420	0.1157017	0.128282265	0.103121135
421	0.11637715	0.129019149	0.103735151
422	0.1170334	0.129722377	0.104344423
423	0.11780555	0.130547197	0.105063903
424	0.1186245	0.131420211	0.105828789
425	0.11948395	0.132334131	0.106633769
426	0.1202386	0.133132412	0.107344788
427	0.12103755	0.133982326	0.108092774
428	0.1218928	0.134897575	0.108888025
429	0.12277015	0.135845038	0.109695262
430	0.1236941	0.136840867	0.110547333
431	0.12464325	0.137863824	0.111422676
432	0.12561695	0.138916807	0.112317093
433	0.12657355	0.13994623	0.11320087
434	0.12752735	0.140967232	0.114087468
435	0.12849995	0.142001461	0.114998439
436	0.12941955	0.14297721	0.11586189
437	0.1302919	0.143910688	0.116673112
438	0.1311335	0.144818907	0.117448093
439	0.13207585	0.145820677	0.118331023
440	0.13298265	0.146789092	0.119176208
441	0.13386645	0.147736056	0.119996844
442	0.13476175	0.148695262	0.120828238
443	0.13559045	0.14957941	0.12160149
444	0.136376	0.150416537	0.122335463
445	0.13711975	0.151209466	0.123030034
446	0.13791345	0.1520504	0.1237765
447	0.1386755	0.152863656	0.124487344
448	0.1394008	0.153644665	0.125156935
449	0.14013035	0.154417539	0.125843161
450	0.1407686	0.155099266	0.126437934
451	0.1413631	0.155737042	0.126989158
452	0.14201685	0.15643244	0.12760126
453	0.1426001	0.157055427	0.128144773
454	0.1431636	0.157658216	0.128668984
455	0.1437391	0.158273872	0.129204328
456	0.1442748	0.158850889	0.129698711
457	0.144803	0.159415914	0.130190086
458	0.1453227	0.159965606	0.130679794
459	0.14578425	0.160460068	0.131108432
460	0.1462362	0.160947898	0.131524502
461	0.1466722	0.161420599	0.131923801
462	0.1470528	0.161831906	0.132273694
463	0.14746135	0.162275708	0.132646992
464	0.1478529	0.162698166	0.133007634
465	0.14817705	0.163038847	0.133315253
466	0.14856235	0.163451778	0.133672922
467	0.1489415	0.163866455	0.134016545
468	0.1492982	0.164266767	0.134329633
469	0.149762	0.164761849	0.134762151
470	0.15013695	0.165169692	0.135104208
471	0.15045885	0.165526384	0.135391316
472	0.15087415	0.165980567	0.135767733
473	0.1513483	0.1664937	0.1362029
474	0.15183185	0.167016601	0.136647099
475	0.15228125	0.167505927	0.137056573
476	0.15271735	0.167984141	0.137450559
477	0.1531787	0.168484839	0.137872561
478	0.15367915	0.169021288	0.138337012
479	0.15414955	0.169540969	0.138758131
