Wavelength	Mean	Std+	Std-
350	0.114442975	0.120317723	0.108568227
351	0.1147328	0.120572707	0.108892893
352	0.114785175	0.120610137	0.108960213
353	0.114974475	0.120861175	0.109087775
354	0.115129475	0.121042298	0.109216652
355	0.115254225	0.121149848	0.109358602
356	0.11559775	0.121513015	0.109682485
357	0.115791275	0.121741135	0.109841415
358	0.115963975	0.121937614	0.109990336
359	0.116391625	0.122312432	0.110470818
360	0.1166487	0.122555754	0.110741646
361	0.116877475	0.12281969	0.11093526
362	0.117153225	0.123208606	0.111097844
363	0.1172721	0.123311269	0.111232931
364	0.11752205	0.123523538	0.111520562
365	0.11793025	0.123890791	0.111969709
366	0.118359275	0.12431328	0.11240527
367	0.118656575	0.124692601	0.112620549
368	0.1189182	0.125077057	0.112759343
369	0.11937865	0.125564447	0.113192853
370	0.119890575	0.126039928	0.113741222
371	0.12041515	0.126551178	0.114279122
372	0.12092445	0.127137531	0.114711369
373	0.1214771	0.127698091	0.115256109
374	0.122036775	0.128254495	0.115819055
375	0.122602725	0.128816292	0.116389158
376	0.123368025	0.129726734	0.117009316
377	0.124034775	0.130441438	0.117628112
378	0.124668325	0.13106244	0.11827421
379	0.1254496	0.131872505	0.119026695
380	0.12619345	0.132702665	0.119684235
381	0.126876675	0.133460173	0.120293177
382	0.127452425	0.134032514	0.120872336
383	0.128075875	0.134777127	0.121374623
384	0.128825925	0.135604382	0.122047468
385	0.129725275	0.13650312	0.12294743
386	0.13053375	0.137416966	0.123650534
387	0.13136715	0.138329302	0.124404998
388	0.132194225	0.139214239	0.125174211
389	0.132913475	0.139984688	0.125842262
390	0.1335034	0.140653157	0.126353643
391	0.134046475	0.14128419	0.12680876
392	0.1346193	0.141943328	0.127295272
393	0.135396825	0.142758897	0.128034753
394	0.13624555	0.143646473	0.128844627
395	0.13711715	0.144566057	0.129668243
396	0.138031825	0.145516231	0.130547419
397	0.138774075	0.14631883	0.13122932
398	0.139381425	0.147002399	0.131760451
399	0.139913075	0.147617066	0.132209084
400	0.140475625	0.14821223	0.13273902
