Wavelength	Mean	Std+	Std-
350	0.1177105	0.15536516	0.08005584
351	0.1183284	0.156207399	0.080449401
352	0.1185505	0.156666372	0.080434628
353	0.1190328	0.157157278	0.080908322
354	0.1193096	0.157545609	0.081073591
355	0.1194306	0.157895059	0.080966141
356	0.1205639	0.159219447	0.081908353
357	0.1212065	0.160016596	0.082396404
358	0.1216664	0.160624808	0.082707992
359	0.1225007	0.161663591	0.083337809
360	0.123113	0.16251775	0.08370825
361	0.1236666	0.163359305	0.083973895
362	0.1242413	0.164289936	0.084192664
363	0.1248197	0.165192061	0.084447339
364	0.125419	0.166127152	0.084710848
365	0.1260045	0.167054118	0.084954882
366	0.1258686	0.167064157	0.084673043
367	0.1263879	0.167799226	0.084976574
368	0.1272594	0.168913279	0.085605521
369	0.1278958	0.169714706	0.086076894
370	0.1285908	0.170593458	0.086588142
371	0.1292094	0.171400832	0.087017968
372	0.1296162	0.171991633	0.087240767
373	0.130552	0.173395998	0.087708002
374	0.1310699	0.174377495	0.087762305
375	0.1310417	0.174765168	0.087318232
376	0.1328386	0.176967208	0.088709992
377	0.1337806	0.178371853	0.089189347
378	0.1342284	0.179293724	0.089163076
379	0.1351554	0.180514163	0.089796637
380	0.136195	0.181855657	0.090534343
381	0.1371894	0.183193606	0.091185194
382	0.1379871	0.184422364	0.091551836
383	0.1387942	0.185597435	0.091990965
384	0.1396562	0.186930561	0.092381839
385	0.1405881	0.188476767	0.092699433
386	0.1416139	0.190377791	0.092850009
387	0.1427259	0.192167766	0.093284034
388	0.1438204	0.193794064	0.093846736
389	0.1445183	0.195023337	0.094013263
390	0.1453666	0.196319309	0.094413891
391	0.1461549	0.197530725	0.094779075
392	0.1466817	0.198515923	0.094847477
393	0.1475312	0.199836506	0.095225894
394	0.1486955	0.201525264	0.095865736
395	0.1501439	0.203544504	0.096743296
396	0.1507729	0.205082696	0.096463104
397	0.1513932	0.206433368	0.096353032
398	0.1520574	0.207676872	0.096437928
399	0.153047	0.209099076	0.096994924
400	0.1536216	0.20997322	0.09726998
401	0.1540592	0.210610766	0.097507634
402	0.1545994	0.211251295	0.097947505
403	0.1550397	0.211802472	0.098276928
404	0.1554447	0.21229829	0.09859111
405	0.1558398	0.212757635	0.098921965
406	0.1564441	0.213551283	0.099336917
407	0.1570124	0.21435409	0.09967071
408	0.157535	0.215142632	0.099927368
409	0.1579655	0.215835235	0.100095765
410	0.1585571	0.21663682	0.10047738
411	0.159167	0.217427402	0.100906598
412	0.1596527	0.218083566	0.101221834
413	0.1601349	0.218717506	0.101552294
414	0.1605744	0.219283335	0.101865465
415	0.1609589	0.219764463	0.102153337
416	0.1614332	0.220351219	0.102515181
417	0.1619675	0.220989895	0.102945105
418	0.1625372	0.221663676	0.103410724
419	0.1629849	0.22228457	0.10368523
420	0.1634487	0.22290618	0.10399122
421	0.163934	0.223541717	0.104326283
422	0.1644693	0.224228173	0.104710427
423	0.1649	0.224824	0.104976
424	0.1653903	0.225444787	0.105335813
425	0.1660293	0.226152267	0.105906333
426	0.1664639	0.226661009	0.106266791
427	0.1669728	0.227271294	0.106674306
428	0.1675684	0.227998927	0.107137873
429	0.1681293	0.228740155	0.107518445
430	0.1687017	0.229535629	0.107867771
431	0.1692979	0.230383941	0.108211859
432	0.1699723	0.231333804	0.108610796
433	0.1704853	0.232116037	0.108854563
434	0.1709936	0.232836503	0.109150697
435	0.1715799	0.23354071	0.10961909
436	0.1720595	0.234024902	0.110094098
437	0.1725416	0.234513772	0.110569428
438	0.1730364	0.235033287	0.111039513
439	0.1734947	0.235617151	0.111372249
440	0.1739217	0.236159036	0.111684364
441	0.174354	0.236703362	0.112004638
442	0.1748976	0.237372759	0.112422441
443	0.1752796	0.237889666	0.112669534
444	0.1756236	0.238340467	0.112906733
445	0.1759941	0.238758686	0.113229514
446	0.17638	0.239237577	0.113522423
447	0.1767739	0.239753149	0.113794651
448	0.1771735	0.240301452	0.114045548
449	0.1775012	0.240785511	0.114216889
450	0.1779336	0.241346084	0.114521116
451	0.1783879	0.241906059	0.114869741
452	0.1786401	0.242242883	0.115037317
453	0.1789365	0.242682744	0.115190256
454	0.1792537	0.243175768	0.115331632
455	0.1795838	0.243707657	0.115459943
456	0.179886	0.244205282	0.115566718
457	0.1802166	0.244721335	0.115711865
458	0.1805817	0.245257331	0.115906069
459	0.1808499	0.245635302	0.116064498
460	0.1810954	0.24602023	0.11617057
461	0.1813322	0.24640603	0.11625837
462	0.1816032	0.246765389	0.116441011
463	0.1818424	0.247108898	0.116575902
464	0.1820612	0.247427639	0.116694761
465	0.1822588	0.247701343	0.116816257
466	0.1825797	0.248128818	0.117030582
467	0.1828268	0.248510985	0.117142615
468	0.1829475	0.248797104	0.117097896
469	0.1832641	0.249251224	0.117276976
470	0.1835122	0.249627959	0.117396441
471	0.1837176	0.249956186	0.117479014
472	0.1839821	0.2503537	0.1176105
473	0.1842421	0.25073112	0.11775308
474	0.1844898	0.251081547	0.117898053
475	0.184713	0.251385462	0.118040538
476	0.1849241	0.251705803	0.118142397
477	0.1851817	0.252077404	0.118285996
478	0.1855054	0.25251522	0.11849558
479	0.1857966	0.252891624	0.118701576
480	0.1860246	0.25320797	0.11884123
481	0.1862113	0.253476319	0.118946281
482	0.1864632	0.253739957	0.119186443
483	0.1867108	0.254015955	0.119405645
484	0.1869843	0.254332921	0.119635679
485	0.1873324	0.254744821	0.119919979
486	0.1876432	0.255214922	0.120071478
487	0.1879658	0.255743154	0.120188446
488	0.1883157	0.256337576	0.120293824
489	0.188699	0.256871443	0.120526557
490	0.1889958	0.257271005	0.120720595
491	0.1892224	0.257558571	0.120886229
492	0.1894917	0.257861129	0.121122271
493	0.1898063	0.258234674	0.121377926
494	0.1901182	0.258618381	0.121618019
495	0.1903551	0.258928222	0.121781978
496	0.1906759	0.259318143	0.122033657
497	0.1910005	0.259694027	0.122306973
498	0.1913025	0.26002048	0.12258452
499	0.1916385	0.260424927	0.122852073
500	0.1920206	0.260908825	0.123132375
501	0.1924353	0.261454818	0.123415782
502	0.1927688	0.261935134	0.123602466
503	0.1931441	0.262423145	0.123865055
504	0.1935247	0.262898007	0.124151393
505	0.1938592	0.263324961	0.124393439
506	0.194174	0.263701427	0.124646573
507	0.1945034	0.264082504	0.124924296
508	0.1948711	0.26449968	0.12524252
509	0.1951767	0.264884312	0.125469088
