Wavelength	Mean	Std+	Std-
350	0.1447907	0.186813739	0.102767661
351	0.1452261	0.187309424	0.103142776
352	0.14579645	0.187948792	0.103644108
353	0.14572825	0.187964129	0.103492371
354	0.1459409	0.188260269	0.103621531
355	0.14648975	0.188891208	0.104088292
356	0.14711795	0.189595043	0.104640857
357	0.14730625	0.189927207	0.104685293
358	0.1474277	0.190207215	0.104648185
359	0.1482693	0.191114453	0.105424147
360	0.14878535	0.191710026	0.105860674
361	0.1492914	0.192296902	0.106285898
362	0.14997125	0.193052486	0.106890014
363	0.1503477	0.193584625	0.107110775
364	0.1507624	0.194127718	0.107397082
365	0.151236	0.194690454	0.107781546
366	0.15138	0.194931795	0.107828205
367	0.15182465	0.195449506	0.108199794
368	0.15242675	0.196112069	0.108741431
369	0.15289565	0.196650927	0.109140373
370	0.15349215	0.197355181	0.109629119
371	0.15399285	0.197959116	0.110026584
372	0.15419025	0.198221839	0.110158661
373	0.154917	0.199093701	0.110740299
374	0.155623	0.19992854	0.11131746
375	0.1562195	0.200622822	0.111816178
376	0.1566075	0.201131994	0.112083006
377	0.1571067	0.201748498	0.112464902
378	0.1577181	0.202468984	0.112967216
379	0.15848035	0.203304567	0.113656133
380	0.15888555	0.203848203	0.113922897
381	0.1593163	0.204425096	0.114207504
382	0.16011405	0.2053283	0.1148998
383	0.1609014	0.20618438	0.11561842
384	0.1614278	0.206800292	0.116055308
385	0.16163905	0.207134391	0.116143709
386	0.1625069	0.208132505	0.116881295
387	0.1631023	0.208855477	0.117349123
388	0.16358275	0.209453662	0.117711838
389	0.16457345	0.210522469	0.118624431
390	0.16502165	0.211064531	0.118978769
391	0.16535355	0.211494433	0.119212667
392	0.1659333	0.212170511	0.119696089
393	0.1664787	0.212808929	0.120148471
394	0.16718555	0.213623032	0.120748068
395	0.16808035	0.214640423	0.121520277
396	0.1685699	0.215266874	0.121872926
397	0.1690607	0.21586386	0.12225754
398	0.16956945	0.21645944	0.12267946
399	0.1702158	0.217204825	0.123226775
400	0.170604	0.217665467	0.123542533
401	0.1709371	0.218060519	0.123813681
402	0.1714169	0.218607212	0.124226588
403	0.1719044	0.219167586	0.124641214
404	0.1723652	0.219689571	0.125040829
405	0.17280015	0.220170381	0.125429919
406	0.173138	0.220607405	0.125668595
407	0.17363655	0.221187676	0.126085424
408	0.1742443	0.221863341	0.126625259
409	0.1747046	0.222401097	0.127008103
410	0.17523455	0.223020412	0.127448688
411	0.17576415	0.22363828	0.12789002
412	0.1762249	0.224172046	0.128277754
413	0.1766098	0.224632845	0.128586755
414	0.17702355	0.225120028	0.128927072
415	0.1775136	0.225679881	0.129347319
416	0.1780158	0.226260115	0.129771485
417	0.1785409	0.226864899	0.130216901
418	0.1790801	0.22748444	0.13067576
419	0.1795735	0.228059155	0.131087845
420	0.1800438	0.228598352	0.131489248
421	0.18052245	0.229144264	0.131900636
422	0.18107205	0.229775702	0.132368398
423	0.1815671	0.230355843	0.132778357
424	0.1820731	0.2309459	0.1332003
425	0.1826259	0.231580563	0.133671237
426	0.1831681	0.232182809	0.134153391
427	0.18370595	0.232799062	0.134612838
428	0.1842417	0.233433154	0.135050246
429	0.1847703	0.234054434	0.135486166
430	0.185341	0.234721946	0.135960054
431	0.1859382	0.235417646	0.136458754
432	0.18656305	0.236142763	0.136983337
433	0.18718545	0.236864764	0.137506136
434	0.18775915	0.237536746	0.137981554
435	0.18825715	0.238132968	0.138381332
436	0.1888155	0.238763289	0.138867711
437	0.1893588	0.239381804	0.139335796
438	0.18988865	0.239992645	0.139784655
439	0.19046305	0.240645747	0.140280353
440	0.1910491	0.241311431	0.140786769
441	0.19162	0.241964186	0.141275814
442	0.1921123	0.24254706	0.14167754
443	0.1926257	0.243149889	0.142101511
444	0.19314155	0.243746637	0.142536463
445	0.1936511	0.244321816	0.142980384
446	0.19417335	0.244927567	0.143419133
447	0.1946701	0.245504353	0.143835847
448	0.19513945	0.246047642	0.144231258
449	0.19560485	0.246581518	0.144628182
450	0.1960695	0.247116393	0.145022607
451	0.196524	0.247641911	0.145406089
452	0.19693	0.248118168	0.145741832
453	0.19733945	0.24859066	0.14608824
454	0.1977552	0.24906894	0.14644146
455	0.19818275	0.249562943	0.146802557
456	0.19865035	0.250103476	0.147197224
457	0.1990651	0.250589011	0.147541189
458	0.19940565	0.25099661	0.14781469
459	0.19982775	0.251469968	0.148185532
460	0.2002221	0.251924565	0.148519635
461	0.20060005	0.252367694	0.148832406
462	0.2009866	0.25281301	0.14916019
463	0.2013309	0.253212788	0.149449012
464	0.2016797	0.25361673	0.14974267
465	0.2020739	0.254067528	0.150080272
466	0.20247225	0.254522088	0.150422412
467	0.2028359	0.254940858	0.150730942
468	0.2031514	0.255309783	0.150993017
469	0.20349425	0.255712076	0.151276424
470	0.20384575	0.256122003	0.151569497
471	0.20421025	0.256543275	0.151877225
472	0.20462655	0.257014199	0.152238901
473	0.2049869	0.257430417	0.152543383
474	0.2053581	0.257858978	0.152857222
475	0.20581545	0.258376191	0.153254709
476	0.20613995	0.258760611	0.153519289
477	0.20645675	0.259133946	0.153779554
478	0.20679565	0.259525172	0.154066128
479	0.20723695	0.26001841	0.15445549
480	0.20765985	0.26049433	0.15482537
481	0.2080575	0.26094479	0.15517021
482	0.20839185	0.261321709	0.155461991
483	0.2087981	0.261774945	0.155821255
484	0.2092181	0.262245786	0.156190414
485	0.2095721	0.262655369	0.156488831
486	0.21000945	0.263162896	0.156856004
487	0.2104504	0.263671928	0.157228872
488	0.2108692	0.264151176	0.157587224
489	0.21130485	0.264657086	0.157952614
490	0.21175815	0.26517667	0.15833963
491	0.2122089	0.265688276	0.158729524
492	0.212563	0.266091572	0.159034428
493	0.21299625	0.266585005	0.159407495
494	0.2134481	0.267097503	0.159798697
495	0.2138429	0.267537756	0.160148044
496	0.2143132	0.268065441	0.160560959
497	0.21477065	0.268578812	0.160962488
498	0.2151829	0.269040173	0.161325627
499	0.21565185	0.269577486	0.161726214
500	0.2161039	0.270093115	0.162114685
501	0.21653705	0.270584797	0.162489303
502	0.21696735	0.271084249	0.162850451
503	0.21743495	0.27161657	0.16325333
504	0.21791655	0.27216155	0.16367155
505	0.21839165	0.272704485	0.164078815
506	0.21883325	0.273199527	0.164466973
507	0.21927415	0.273692053	0.164856247
508	0.21973305	0.274207424	0.165258676
509	0.2201531	0.274679244	0.165626956
510	0.2205768	0.275157038	0.165996562
511	0.22101105	0.275648347	0.166373753
512	0.2214824	0.276177663	0.166787137
513	0.22191395	0.276659173	0.167168727
514	0.22233945	0.277132347	0.167546553
515	0.22281805	0.277665728	0.167970372
516	0.2232749	0.278181	0.1683688
517	0.22372675	0.278692551	0.168760949
518	0.22417455	0.279200288	0.169148812
519	0.2247131	0.279828921	0.169597279
520	0.22522825	0.280427313	0.170029187
521	0.22570325	0.280973388	0.170433112
522	0.2261302	0.281455058	0.170805342
523	0.22660465	0.281985168	0.171224132
524	0.2270997	0.282537463	0.171661937
525	0.2275557	0.283054008	0.172057392
526	0.2280675	0.283629944	0.172505056
527	0.2285778	0.284206145	0.172949455
528	0.2290559	0.284751387	0.173360413
529	0.2295048	0.285274505	0.173735095
530	0.2299727	0.285807764	0.174137636
531	0.2304637	0.286353053	0.174574347
532	0.2308968	0.286849252	0.174944348
533	0.23135875	0.287372092	0.175345408
534	0.23184	0.287914578	0.175765422
535	0.23231715	0.288458521	0.176175779
536	0.23276535	0.288966222	0.176564478
537	0.2332198	0.289476556	0.176963044
538	0.2337138	0.290024004	0.177403596
539	0.2341483	0.290518671	0.177777929
540	0.2345801	0.2910135	0.1781467
541	0.2350171	0.291515169	0.178519031
542	0.2355142	0.292080368	0.178948032
543	0.23598375	0.292617302	0.179350198
544	0.2364303	0.293128803	0.179731797
545	0.23687085	0.293625952	0.180115748
546	0.2372972	0.2941044	0.18049
547	0.23771885	0.294581121	0.180856579
548	0.23814435	0.295073402	0.181215298
549	0.23862035	0.295608376	0.181632324
550	0.239071	0.296117431	0.182024569
551	0.2394771	0.296582893	0.182371307
552	0.23989435	0.297060432	0.182728268
