Wavelength	Mean	Std+	Std-
350	0.1273545	0.136958839	0.117750161
351	0.1272711	0.136843322	0.117698878
352	0.12746425	0.13714	0.1177885
353	0.127529125	0.137108427	0.117949823
354	0.127646125	0.13712802	0.11816423
355	0.127810225	0.137219162	0.118401288
356	0.127743975	0.137221822	0.118266128
357	0.127805975	0.137223119	0.118388831
358	0.12795755	0.137292653	0.118622447
359	0.12817685	0.137622946	0.118730754
360	0.12831425	0.137778857	0.118849643
361	0.1284217	0.137893925	0.118949475
362	0.128519575	0.138031627	0.119007523
363	0.128549775	0.138028085	0.119071465
364	0.128667375	0.138145655	0.119189095
365	0.128887	0.138407227	0.119366773
366	0.12913805	0.13863374	0.11964236
367	0.129428675	0.138877623	0.119979727
368	0.129715275	0.139138695	0.120291855
369	0.129863675	0.139424772	0.120302578
370	0.1300073	0.139577354	0.120437246
371	0.1302203	0.139767529	0.120673071
372	0.1305833	0.140130879	0.121035721
373	0.1309421	0.14045354	0.12143066
374	0.131262975	0.140752542	0.121773408
375	0.1315406	0.141031412	0.122049788
376	0.131940925	0.141459061	0.122422789
377	0.13239335	0.141998003	0.122788697
378	0.132888025	0.142604611	0.123171439
379	0.13338325	0.143105205	0.123661295
380	0.13375915	0.14355418	0.12396412
381	0.13409905	0.143932116	0.124265984
382	0.13445945	0.144188111	0.124730789
383	0.13490515	0.144689538	0.125120762
384	0.1353247	0.145174997	0.125474403
385	0.13569955	0.145598932	0.125800168
386	0.136372525	0.146304207	0.126440843
387	0.13689665	0.146846945	0.126946355
388	0.137322075	0.147300541	0.127343609
389	0.137813875	0.147946534	0.127681216
390	0.1382312	0.148374929	0.128087471
391	0.138580675	0.148721976	0.128439374
392	0.138850625	0.14909281	0.12860844
393	0.139404475	0.1496408	0.12916815
394	0.1398835	0.150122945	0.129644055
395	0.140199975	0.15047478	0.12992517
396	0.14059065	0.150960425	0.130220875
397	0.1409559	0.151374896	0.130536904
398	0.1412825	0.15172796	0.13083704
399	0.14150995	0.152029567	0.130990333
400	0.141753975	0.152296722	0.131211228
401	0.1419917	0.152524752	0.131458648
402	0.142219325	0.152710636	0.131728014
403	0.142467925	0.152976487	0.131959363
404	0.142694225	0.153205698	0.132182752
405	0.142892075	0.153372648	0.132411502
406	0.14305315	0.153595238	0.132511062
407	0.1432181	0.153769671	0.132666529
408	0.1433896	0.153916777	0.132862423
409	0.14358335	0.154157872	0.133008828
410	0.143814125	0.154413805	0.133214445
411	0.144045	0.154647377	0.133442623
412	0.1442389	0.154808565	0.133669235
413	0.1444136	0.155001566	0.133825634
414	0.14457045	0.155172305	0.133968595
415	0.1447093	0.155302547	0.134116053
416	0.144913275	0.155513684	0.134312866
417	0.145078675	0.155693193	0.134464157
418	0.145213075	0.15584465	0.1345815
419	0.14540035	0.156026071	0.134774629
420	0.1456132	0.156263993	0.134962407
421	0.1458249	0.156504394	0.135145406
422	0.14599415	0.156663385	0.135324915
423	0.14619915	0.156879276	0.135519024
424	0.14640195	0.157096879	0.135707021
425	0.1465896	0.157297312	0.135881888
426	0.14684815	0.157545034	0.136151266
427	0.14705015	0.157760388	0.136339912
428	0.147192225	0.157939608	0.136444842
429	0.147363675	0.158119933	0.136607417
430	0.147599525	0.15837671	0.13682234
431	0.147855425	0.158660178	0.137050672
432	0.148060725	0.158894913	0.137226537
433	0.148243025	0.159111719	0.137374331
434	0.148426125	0.159323725	0.137528525
435	0.148624925	0.159539337	0.137710513
436	0.1488189	0.15973652	0.13790128
437	0.149014825	0.159932658	0.138096992
438	0.14921245	0.160130636	0.138294264
439	0.14938345	0.160328319	0.138438581
440	0.149540875	0.160503918	0.138577832
441	0.149693525	0.160672385	0.138714665
442	0.149864575	0.160870411	0.138858739
443	0.149991925	0.16102351	0.13896034
444	0.1501062	0.161151958	0.139060442
445	0.150221825	0.161260032	0.139183618
446	0.15034345	0.161404419	0.139282481
447	0.15046425	0.16154312	0.13938538
448	0.1505853	0.161673577	0.139497023
449	0.15073175	0.161833527	0.139629973
450	0.15086265	0.161968007	0.139757293
451	0.150980725	0.162083519	0.139877931
452	0.15108445	0.162185066	0.139983834
453	0.151208	0.16232279	0.14009321
454	0.1513434	0.162472801	0.140213999
455	0.1514899	0.162622026	0.140357774
456	0.15159455	0.162747302	0.140441798
457	0.151683575	0.162850724	0.140516426
458	0.1517603	0.16293064	0.14058996
459	0.151864175	0.163028343	0.140700007
460	0.1519541	0.163128402	0.140779798
461	0.1520347	0.163225381	0.140844019
462	0.1521161	0.163297262	0.140934938
463	0.15216785	0.16334641	0.14098929
464	0.152207975	0.163386829	0.141029121
465	0.152246	0.163425753	0.141066247
466	0.152338425	0.163512629	0.141164221
467	0.1524062	0.163585097	0.141227303
468	0.1524291	0.163627425	0.141230775
469	0.15249025	0.163699873	0.141280627
470	0.152542725	0.163759325	0.141326125
471	0.15258925	0.163809948	0.141368552
472	0.152638775	0.163866013	0.141411537
473	0.152706225	0.163941614	0.141470836
474	0.152768375	0.164016034	0.141520716
475	0.152797975	0.164066813	0.141529137
476	0.152891575	0.164156873	0.141626277
477	0.152984375	0.164256068	0.141712682
478	0.1530615	0.16435838	0.14176462
479	0.15314485	0.164455636	0.141834064
480	0.15323055	0.164555439	0.141905661
481	0.153319725	0.164657888	0.141981562
482	0.153425125	0.164768431	0.142081819
483	0.15353975	0.164879849	0.142199651
484	0.153658975	0.164999542	0.142318408
485	0.153776425	0.165138513	0.142414337
486	0.153899775	0.165295306	0.142504244
487	0.1540006	0.165437227	0.142563973
488	0.1540652	0.16555061	0.14257979
489	0.154183575	0.165703126	0.142664024
490	0.154278125	0.165825551	0.142730699
491	0.1543544	0.16592373	0.14278507
492	0.154466025	0.166050075	0.142881975
493	0.1545836	0.166195831	0.142971369
494	0.154702675	0.166345369	0.143059981
495	0.154818525	0.166478432	0.143158618
496	0.154968825	0.166651721	0.143285929
497	0.15510335	0.166809786	0.143396914
498	0.155200825	0.166930023	0.143471627
499	0.155353075	0.167108861	0.143597289
500	0.1554963	0.167286576	0.143706024
501	0.155630325	0.167461096	0.143799554
502	0.155788275	0.167651468	0.143925082
503	0.155929825	0.167833255	0.144026395
504	0.1560668	0.168011913	0.144121687
505	0.15621995	0.168198419	0.144241481
506	0.156351825	0.168371783	0.144331867
507	0.1564841	0.16853746	0.14443074
508	0.1566285	0.168698103	0.144558897
509	0.156785875	0.168884937	0.144686813
510	0.1569306	0.169061664	0.144799536
511	0.1570658	0.169230402	0.144901198
512	0.1572408	0.169434788	0.145046812
513	0.15739425	0.169616356	0.145172144
514	0.157537675	0.169787202	0.145288148
515	0.157685425	0.169962401	0.145408449
516	0.157802025	0.170122172	0.145481878
517	0.15792825	0.170301239	0.145555261
518	0.158088975	0.170524293	0.145653657
519	0.1582363	0.170732744	0.145739856
520	0.15837615	0.170927408	0.145824892
521	0.158508975	0.171106621	0.145911329
522	0.158653025	0.17127247	0.14603358
523	0.15880615	0.171446213	0.146166087
524	0.158964725	0.171626795	0.146302655
525	0.159121275	0.171812539	0.146430011
526	0.159276775	0.172004166	0.146549384
527	0.1594362	0.172206658	0.146665742
528	0.159605875	0.172428853	0.146782897
529	0.159750175	0.172621516	0.146878834
530	0.15990875	0.172813469	0.147004031
531	0.160085675	0.173007783	0.147163567
532	0.160246425	0.173198967	0.147293883
533	0.16043485	0.173424458	0.147445242
534	0.160638175	0.173670561	0.147605789
535	0.1608229	0.173905904	0.147739896
536	0.1610185	0.17413732	0.14789968
537	0.161212325	0.174360476	0.148064174
538	0.16139575	0.174570275	0.148221225
539	0.16161175	0.174830521	0.148392979
540	0.16184275	0.175106071	0.148579429
541	0.16208515	0.175390845	0.148779455
542	0.162318875	0.175680961	0.148956789
543	0.1625732	0.175985134	0.149161266
544	0.162839925	0.176296125	0.149383725
545	0.16310035	0.176596994	0.149603706
546	0.16337395	0.176912205	0.149835695
547	0.163659725	0.177239706	0.150079744
548	0.163963625	0.177584309	0.150342941
549	0.164296175	0.177962204	0.150630146
550	0.164634375	0.178347504	0.150921246
551	0.1649734	0.178734653	0.151212147
552	0.165324975	0.179134207	0.151515743
553	0.16568795	0.179546545	0.151829355
554	0.16606435	0.17997262	0.15215608
555	0.16646695	0.180421433	0.152512467
