Wavelength	Mean	Std+	Std-
350	0.135718	0.143331372	0.128104628
351	0.135763267	0.143363497	0.128163037
352	0.135947333	0.143491205	0.128403462
353	0.136350867	0.143956956	0.128744777
354	0.1367642	0.144401332	0.129127068
355	0.1371574	0.144783901	0.129530899
356	0.137356767	0.144984416	0.129729118
357	0.137691167	0.14532542	0.130056914
358	0.1380127	0.145665868	0.130359532
359	0.137989333	0.145676884	0.130301783
360	0.138382067	0.146066561	0.130697572
361	0.138804567	0.146485631	0.131123502
362	0.139054867	0.14675448	0.131355254
363	0.139302633	0.147001634	0.131603632
364	0.139745533	0.14745354	0.132037527
365	0.140367033	0.14809643	0.132637637
366	0.1403546	0.148094819	0.132614381
367	0.140670533	0.148408929	0.132932138
368	0.1411927	0.148926762	0.133458638
369	0.141725	0.149469518	0.133980482
370	0.142202767	0.149979022	0.134426512
371	0.1427299	0.150526921	0.134932879
372	0.143395333	0.151176476	0.13561419
373	0.144013033	0.151822101	0.136203966
374	0.144766233	0.152602359	0.136930107
375	0.1456902	0.153544223	0.137836177
376	0.146585267	0.154454712	0.138715821
377	0.147469	0.155359701	0.139578299
378	0.148331167	0.156248135	0.140414198
379	0.149063133	0.157008986	0.141117281
380	0.149830767	0.157790365	0.141871168
381	0.1506262	0.158612035	0.142640365
382	0.1514521	0.159501549	0.143402651
383	0.1522343	0.16028833	0.14418027
384	0.153172533	0.161247305	0.145097761
385	0.154314367	0.162441333	0.1461874
386	0.155345167	0.163503682	0.147186651
387	0.156236367	0.164426949	0.148045784
388	0.157041	0.165261083	0.148820917
389	0.157971567	0.166210246	0.149732887
390	0.158775367	0.167052838	0.150497896
391	0.1595091	0.167821427	0.151196773
392	0.160220133	0.168536153	0.151904113
393	0.1612105	0.169540689	0.152880311
394	0.162141467	0.170505843	0.153777091
395	0.162916467	0.171336724	0.15449621
396	0.1638304	0.172271305	0.155389495
397	0.164644867	0.173120999	0.156168734
398	0.165373533	0.173891925	0.156855142
399	0.1660463	0.174588003	0.157504597
400	0.166678233	0.175228153	0.158128313
401	0.167255433	0.175809027	0.15870184
402	0.167790833	0.176352019	0.159229647
403	0.168423033	0.177002213	0.159843854
404	0.1689458	0.177535115	0.160356485
405	0.169312533	0.17789915	0.160725917
406	0.169953967	0.178556953	0.16135098
407	0.1705527	0.179168903	0.161936497
408	0.1711126	0.179738857	0.162486343
409	0.1716899	0.180326014	0.163053786
410	0.1723252	0.180975011	0.163675389
411	0.172940933	0.181610122	0.164271745
412	0.173451533	0.18215224	0.164750826
413	0.174000633	0.182715553	0.165285713
414	0.174570133	0.183292803	0.165847463
415	0.175169767	0.183895356	0.166444177
416	0.175722333	0.184464755	0.166979912
417	0.1763116	0.185070612	0.167552588
418	0.176929533	0.185704975	0.168154092
419	0.1774977	0.186293039	0.168702361
420	0.178130267	0.186941625	0.169318909
421	0.178787633	0.187613687	0.16996158
422	0.179429433	0.188271921	0.170586946
423	0.180116367	0.188982671	0.171250062
424	0.180800167	0.189685904	0.171914429
425	0.1814683	0.190363464	0.172573136
426	0.182163733	0.19107497	0.173252496
427	0.182868033	0.191799621	0.173936445
428	0.183587	0.192543025	0.174630975
429	0.184387933	0.193371082	0.175404785
430	0.185193133	0.194200446	0.176185821
431	0.186013833	0.195047223	0.176980444
432	0.186903133	0.195975393	0.177830874
433	0.187764033	0.19686989	0.178658177
434	0.1885751	0.197711179	0.179439021
435	0.189324	0.198486404	0.180161596
436	0.190066267	0.199256029	0.180876504
437	0.1908297	0.200044077	0.181615323
438	0.191615333	0.200851627	0.18237904
439	0.192337067	0.20159976	0.183074374
440	0.1930764	0.202365154	0.183787646
441	0.1938162	0.203131861	0.184500539
442	0.194531933	0.203879943	0.185183923
443	0.195176067	0.204549839	0.185802294
444	0.195808	0.205204338	0.186411662
445	0.1964625	0.205879243	0.187045757
446	0.197033667	0.206473559	0.187593774
447	0.197611067	0.207073138	0.188148996
448	0.198205233	0.207688275	0.188722192
449	0.198723567	0.208231459	0.189215674
450	0.199248	0.208775709	0.189720291
451	0.199762233	0.209305689	0.190218778
452	0.200207333	0.209763484	0.190651182
