Wavelength	Mean	Std+	Std-
350	0.07923515	0.083155063	0.075315237
351	0.079373025	0.083360673	0.075385377
352	0.079607875	0.08361603	0.07559972
353	0.079757975	0.083798076	0.075717874
354	0.079823025	0.083879179	0.075766871
355	0.0798301	0.08388652	0.07577368
356	0.080122525	0.084180563	0.076064487
357	0.080232	0.084272414	0.076191586
358	0.080296275	0.08431506	0.07627749
359	0.08059175	0.084615092	0.076568408
360	0.080665825	0.084705208	0.076626442
361	0.08076085	0.084817773	0.076703927
362	0.081025275	0.085086937	0.076963613
363	0.0812947	0.085381087	0.077208313
364	0.081473875	0.085572009	0.077375741
365	0.081560625	0.08565356	0.07746769
366	0.081798975	0.085854357	0.077743593
367	0.082034725	0.086066003	0.078003447
368	0.082270325	0.086294258	0.078246392
369	0.0825058	0.086559134	0.078452466
370	0.082706675	0.086765923	0.078647427
371	0.083016275	0.087090146	0.078942404
372	0.083579975	0.087703868	0.079456082
373	0.083934775	0.088094279	0.079775271
374	0.08431175	0.088496259	0.080127241
375	0.084745275	0.088945464	0.080545086
376	0.0850637	0.089334144	0.080793256
377	0.085489	0.089783814	0.081194186
378	0.085965675	0.090260892	0.081670458
379	0.08628505	0.090614881	0.081955219
380	0.086676425	0.091051213	0.082301637
381	0.0870761	0.091497364	0.082654836
382	0.087432025	0.091891333	0.082972717
383	0.08795605	0.092385586	0.083526514
384	0.08855575	0.092992207	0.084119293
385	0.08921805	0.093714628	0.084721472
386	0.089710775	0.094247199	0.085174351
387	0.0901004	0.09470883	0.08549197
388	0.09044815	0.095141351	0.085754949
389	0.09100255	0.095709918	0.086295182
390	0.09134815	0.096099436	0.086596864
391	0.09170865	0.096502531	0.086914769
392	0.092318425	0.097125051	0.087511799
393	0.092865775	0.097678748	0.088052802
394	0.0933624	0.098203209	0.088521591
395	0.093797525	0.098692122	0.088902928
396	0.0942154	0.099137626	0.089293174
397	0.09465905	0.099618311	0.089699789
398	0.095114925	0.100117182	0.090112668
399	0.09558205	0.100628385	0.090535715
400	0.0959712	0.101035558	0.090906842
401	0.09631905	0.101398537	0.091239563
402	0.09667235	0.101786023	0.091558677
403	0.09700425	0.102143915	0.091864585
404	0.097339875	0.102502037	0.092177713
405	0.097694975	0.102877976	0.092511974
406	0.098060075	0.103261016	0.092859134
407	0.0984698	0.103694511	0.093245089
408	0.098904325	0.104158093	0.093650557
409	0.099267275	0.10455554	0.09397901
410	0.0996159	0.10494011	0.09429169
411	0.0999595	0.105316121	0.094602879
412	0.100319225	0.105697507	0.094940943
413	0.1006965	0.106092516	0.095300484
414	0.1010726	0.106492185	0.095653015
415	0.101448475	0.106902232	0.095994718
416	0.101862	0.107324358	0.096399642
417	0.10222665	0.107717629	0.096735671
418	0.102553775	0.108089034	0.097018516
419	0.102945775	0.108501144	0.097390406
420	0.103343575	0.108923068	0.097764082
421	0.103741875	0.109350745	0.098133005
422	0.10413695	0.109785268	0.098488632
423	0.10456725	0.110245428	0.098889072
424	0.10498245	0.110688211	0.099276689
425	0.105363025	0.111096893	0.099629157
426	0.1057724	0.111546147	0.099998653
427	0.106197575	0.112008717	0.100386433
428	0.106637675	0.112483688	0.100791662
429	0.107086625	0.112976996	0.101196254
430	0.107583	0.113507227	0.101658773
431	0.108087	0.114042094	0.102131906
432	0.10853625	0.114533463	0.102539037
433	0.109010725	0.115054357	0.102967093
434	0.10946665	0.115560064	0.103373236
435	0.10988415	0.116031764	0.103736536
436	0.110302575	0.116481401	0.104123749
437	0.110755475	0.116970036	0.104540914
438	0.11124015	0.117495977	0.104984323
439	0.111643525	0.117930608	0.105356442
440	0.1120732	0.118387832	0.105758568
441	0.11250775	0.11885139	0.10616411
442	0.11290745	0.119297392	0.106517508
443	0.113308875	0.11972729	0.10689046
444	0.1137027	0.12015037	0.10725503
445	0.11408195	0.120571842	0.107592058
446	0.114463425	0.120982313	0.107944537
447	0.114822775	0.12137367	0.10827188
