Wavelength	Mean	Std+	Std-
350	0.0912613	0.094084827	0.088437773
351	0.0915747	0.094422504	0.088726896
352	0.0924959	0.095283282	0.089708518
353	0.0924749	0.09525266	0.08969714
354	0.09267775	0.09546483	0.08989067
355	0.09318795	0.095995579	0.090380321
356	0.09377905	0.096590828	0.090967272
357	0.0940519	0.096867968	0.091235832
358	0.0942124	0.097048328	0.091376472
359	0.09464795	0.097557703	0.091738197
360	0.09505865	0.097976402	0.092140898
361	0.0955119	0.09843212	0.09259168
362	0.09606815	0.099012986	0.093123314
363	0.0964117	0.09937239	0.09345101
364	0.09689535	0.099848697	0.093942003
365	0.097533	0.100457519	0.094608481
366	0.09773495	0.100696371	0.094773529
367	0.0981696	0.101171147	0.095168053
368	0.0987138	0.101748194	0.095679406
369	0.0990886	0.102111113	0.096066087
370	0.0995481	0.102606754	0.096489446
371	0.1001243	0.103225522	0.097023078
372	0.1008837	0.104004501	0.097762899
373	0.10130655	0.10444235	0.09817075
374	0.1018641	0.105018225	0.098709975
375	0.1026337	0.10581036	0.09945704
376	0.1032441	0.106465386	0.100022814
377	0.10402905	0.107267363	0.100790737
378	0.10486825	0.108116997	0.101619503
379	0.10529285	0.108609737	0.101975963
380	0.1059959	0.109335867	0.102655933
381	0.10676125	0.110120255	0.103402245
382	0.1074255	0.110834501	0.104016499
383	0.10832215	0.111744665	0.104899635
384	0.10914225	0.112574525	0.105709975
385	0.1098285	0.113273062	0.106383938
386	0.11071725	0.114264334	0.107170166
387	0.1114932	0.11508896	0.10789744
388	0.1122064	0.115815371	0.108597429
389	0.11306585	0.116711623	0.109420077
390	0.11372355	0.117393192	0.110053908
391	0.1143438	0.118032683	0.110654917
392	0.1150862	0.118794401	0.111377999
393	0.1157514	0.119523555	0.111979245
394	0.11650605	0.120321314	0.112690786
395	0.1173671	0.121189293	0.113544907
396	0.11810635	0.121987455	0.114225245
397	0.11881125	0.122730547	0.114891953
398	0.1194847	0.123430371	0.115539029
399	0.1201613	0.124151056	0.116171544
400	0.1207558	0.124777368	0.116734232
401	0.1212512	0.125297323	0.117205077
402	0.12162645	0.125693586	0.117559314
403	0.1221255	0.126210666	0.118040334
404	0.12262245	0.126718135	0.118526765
405	0.1230982	0.127195575	0.119000825
406	0.1235535	0.127677999	0.119429001
407	0.1240624	0.128220321	0.119904479
408	0.1246002	0.128795302	0.120405098
409	0.12503275	0.129258603	0.120806897
410	0.12549255	0.129745084	0.121240016
411	0.12594415	0.13022147	0.12166683
412	0.1263532	0.130657121	0.122049279
413	0.12684755	0.131169847	0.122525253
414	0.1273219	0.131668726	0.122975074
415	0.12774765	0.132131269	0.123364031
416	0.12819795	0.132602748	0.123793152
417	0.12869475	0.133126973	0.124262527
418	0.12922145	0.133685039	0.124757861
419	0.12965605	0.134135916	0.125176184
420	0.1301593	0.13467082	0.12564778
421	0.130677	0.135224717	0.126129283
422	0.1311363	0.135710426	0.126562174
423	0.13163095	0.136234218	0.127027682
424	0.13212935	0.136761636	0.127497064
425	0.13262455	0.137285169	0.127963931
426	0.13315365	0.137846914	0.128460386
427	0.1337151	0.138439455	0.128990745
428	0.13430325	0.139057537	0.129548963
429	0.13481885	0.139611034	0.130026666
430	0.13538215	0.140211568	0.130552732
431	0.13594935	0.140818326	0.131080374
432	0.1364505	0.141368966	0.131532034
433	0.1370431	0.142001658	0.132084542
434	0.13766415	0.14266003	0.13266827
435	0.1383002	0.143332699	0.133267701
436	0.1388249	0.143885275	0.133764525
