NAME,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,SOURCE,NOTES
v-LAI-5.541-LMA-0.016-CHL-40.998-N-2.356,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.900-LMA-0.008-CHL-39.182-N-1.622,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.711-LMA-0.018-CHL-29.959-N-2.107,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-3.506-LMA-0.008-CHL-10.774-N-1.379,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-1.256-LMA-0.009-CHL-13.444-N-1.547,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.808-LMA-0.017-CHL-33.766-N-2.207,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.046-LMA-0.007-CHL-32.006-N-2.309,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.601-LMA-0.019-CHL-11.179-N-1.316,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-3.464-LMA-0.009-CHL-41.112-N-2.023,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-3.877-LMA-0.017-CHL-25.046-N-2.257,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-3.201-LMA-0.009-CHL-46.513-N-2.467,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-6.146-LMA-0.009-CHL-51.860-N-2.360,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-1.334-LMA-0.008-CHL-37.043-N-1.534,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.348-LMA-0.007-CHL-32.197-N-1.629,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-3.707-LMA-0.020-CHL-23.467-N-1.557,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-1.703-LMA-0.007-CHL-44.364-N-2.249,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-6.369-LMA-0.011-CHL-55.528-N-2.025,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-2.451-LMA-0.020-CHL-50.052-N-1.408,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.077-LMA-0.011-CHL-50.663-N-1.937,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.288-LMA-0.008-CHL-24.425-N-1.513,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-0.684-LMA-0.010-CHL-44.125-N-2.296,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.714-LMA-0.018-CHL-27.020-N-2.033,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.680-LMA-0.009-CHL-59.896-N-1.420,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-3.143-LMA-0.014-CHL-10.931-N-2.332,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-1.972-LMA-0.013-CHL-19.744-N-2.141,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.268-LMA-0.012-CHL-22.842-N-1.558,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-2.797-LMA-0.007-CHL-11.441-N-1.847,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-3.223-LMA-0.008-CHL-19.632-N-1.638,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.602-LMA-0.014-CHL-23.158-N-1.714,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-2.990-LMA-0.018-CHL-43.029-N-2.212,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-6.702-LMA-0.005-CHL-19.864-N-1.462,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-2.922-LMA-0.015-CHL-48.805-N-1.483,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.423-LMA-0.010-CHL-27.405-N-2.385,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-2.196-LMA-0.015-CHL-50.991-N-1.832,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.796-LMA-0.014-CHL-17.751-N-2.013,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-3.645-LMA-0.006-CHL-52.014-N-1.847,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-2.962-LMA-0.011-CHL-20.056-N-1.300,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-7.010-LMA-0.011-CHL-32.950-N-1.461,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-8.367-LMA-0.020-CHL-38.583-N-1.659,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-0.791-LMA-0.013-CHL-41.282-N-1.492,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.609-LMA-0.016-CHL-25.466-N-1.856,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.102-LMA-0.009-CHL-28.402-N-2.237,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.016-LMA-0.017-CHL-11.172-N-1.542,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.662-LMA-0.015-CHL-51.846-N-2.111,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.818-LMA-0.006-CHL-54.788-N-2.408,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-0.734-LMA-0.018-CHL-55.681-N-1.633,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-3.115-LMA-0.012-CHL-41.029-N-2.157,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-2.893-LMA-0.011-CHL-24.545-N-1.702,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-3.298-LMA-0.009-CHL-50.903-N-1.879,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-6.684-LMA-0.006-CHL-19.097-N-1.503,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-2.853-LMA-0.012-CHL-42.305-N-1.654,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-2.654-LMA-0.011-CHL-45.392-N-1.400,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-2.825-LMA-0.008-CHL-25.750-N-1.551,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.187-LMA-0.013-CHL-14.998-N-1.696,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.393-LMA-0.007-CHL-48.476-N-1.604,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-4.258-LMA-0.014-CHL-17.725-N-2.159,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.321-LMA-0.017-CHL-51.770-N-2.020,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-1.283-LMA-0.013-CHL-55.984-N-2.418,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.953-LMA-0.009-CHL-51.874-N-1.742,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-2.595-LMA-0.013-CHL-56.533-N-2.095,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-3.463-LMA-0.010-CHL-26.356-N-1.661,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.467-LMA-0.011-CHL-45.609-N-2.090,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-7.518-LMA-0.023-CHL-40.366-N-2.360,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-1.691-LMA-0.017-CHL-18.238-N-1.325,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-5.780-LMA-0.013-CHL-21.100-N-1.454,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
v-LAI-6.071-LMA-0.011-CHL-26.877-N-1.811,pervious,vegetation,canopy,simulated,0.0,0.0,prosail,modeled canopy reflectance
