NAME,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,SOURCE,NOTES
frrkof.002-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.012-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.013-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.003-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.005-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.011-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.007-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.016-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.006-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.008-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.009-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.015-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.017-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.001-,impervious,urban,asphalt,measured,34.4183,-119.8721,asd,urban reflectance spectra from santa barbara
frrkof.004-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
fggeof.004-,impervious,urban,asphalt,measured,34.4183,-119.8721,asd,urban reflectance spectra from santa barbara
frrkof.010-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
frrkof.014-,impervious,urban,asphalt,measured,34.4127,-119.7317,asd,urban reflectance spectra from santa barbara
fscnmm.003-,impervious,urban,comp_shingle,measured,34.4358,-119.8804,asd,urban reflectance spectra from santa barbara
fscemg.069-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
fscemg.053-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
fscnmm.005-,impervious,urban,comp_shingle,measured,34.4358,-119.8804,asd,urban reflectance spectra from santa barbara
fscemg.039-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
fscemg.027-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
fscnof.003-,impervious,urban,comp_shingle,measured,34.4358,-119.8804,asd,urban reflectance spectra from santa barbara
fscnmm.001-,impervious,urban,comp_shingle,measured,34.4358,-119.8804,asd,urban reflectance spectra from santa barbara
fscemg.057-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
fscemg.038-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
fscnmm.004-,impervious,urban,comp_shingle,measured,34.4358,-119.8804,asd,urban reflectance spectra from santa barbara
